Time,NO_1,NO_2,NO_3,NO_4,NO_5
186,6964,6033,4119,2719,2790
187,6865,5935,4071,2695,2779
188,6728,5846,4058,2643,2734
189,6520,5757,3973,2550,2713
190,6248,5540,3887,2562,2448
191,6077,5425,3821,2538,2504
192,5895,5427,3754,2452,2472
193,5722,5363,3698,2413,2415
194,5614,5331,3775,2388,2376
195,5568,5325,3692,2397,2362
196,5557,5350,3788,2404,2366
197,5607,5369,3786,2396,2366
198,5762,5417,3779,2419,2393
199,5959,5514,3953,2466,2483
200,6176,5681,3997,2526,2542
201,6428,5769,3982,2553,2604
202,6554,5851,3996,2576,2630
203,6567,5860,4058,2594,2664
204,6527,5822,4117,2617,2691
205,6475,5770,4066,2617,2691
206,6591,5740,4052,2635,2695
207,6725,5737,4041,2624,2669
208,6855,5839,4242,2590,2691
209,6899,5851,4021,2570,2690
210,6883,5897,3959,2546,2709
211,6719,5774,3870,2502,2672
212,6566,5641,3859,2434,2686
213,6389,5413,3777,2414,2566
214,6127,5278,3997,2396,2598
215,5885,5153,4013,2311,2470
216,5700,5062,3746,2291,2347
217,5511,5073,3499,2302,2272
218,5383,5107,3503,2305,2260
219,5304,4967,3598,2302,2256
220,5298,4899,3593,2273,2239
221,5363,4987,3554,2279,2245
222,5509,4949,3468,2301,2270
223,5611,5087,3800,2423,2341
224,5839,5237,3976,2380,2376
225,6099,5414,3874,2444,2459
226,6296,5539,3867,2485,2504
227,6337,5651,3929,2547,2527
228,6249,5574,3926,2544,2542
229,6214,5491,4189,2550,2532
230,6298,5556,4284,2561,2525
231,6440,5658,4050,2575,2609
232,6730,5742,3978,2610,2643
233,6800,5804,3976,2593,2648
234,6738,5736,3951,2576,2642
235,6644,5546,3826,2564,2602
236,6535,5434,4067,2544,2583
237,6420,5429,4029,2532,2599
238,6166,5479,3756,2491,2593
239,5932,5444,3707,2451,2299
240,5706,5342,3496,2414,2463
241,5544,5193,3421,2419,2295
242,5497,5035,3378,2405,2273
243,5515,4983,3372,2372,2285
244,5587,5007,3623,2367,2310
245,5761,5005,3686,2404,2335
246,6295,5406,3943,2502,2469
247,6883,5732,4089,2651,2608
248,7149,5896,4321,2767,2736
249,7162,5782,4113,2798,2745
250,7150,5763,4111,2747,2715
251,7173,5916,4246,2695,2666
252,7175,6007,4315,2717,2638
253,7120,5921,4279,2754,2701
254,7089,5870,4186,2773,2660
255,7146,5936,4408,2779,2673
256,7263,6003,4413,2841,2736
257,7226,5956,4371,2815,2729
258,7076,5886,4340,2751,2707
259,7033,5769,4205,2732,2615
260,6923,5684,4010,2708,2608
261,6832,5599,3991,2730,2559
262,6569,5414,3861,2649,2516
263,6318,5297,3806,2540,2424
264,6098,5218,3666,2497,2358
265,5963,5204,3767,2462,2326
266,5978,5210,3713,2516,2299
267,5968,5196,3839,2521,2311
268,6001,5216,3900,2502,2369
269,6152,5469,3855,2519,2458
270,6698,5673,3943,2580,2537
271,7231,6185,4071,2686,2681
272,7552,6492,4120,2738,2748
273,7519,6371,4173,2776,2806
274,7453,6287,4116,2758,2768
275,7354,6146,4010,2762,2755
276,7315,6079,4107,2741,2670
277,7215,6053,3932,2738,2672
278,7200,6004,3945,2770,2679
279,7239,6057,3989,2794,2712
280,7343,6137,4052,2794,2701
281,7288,6038,3991,2770,2688
282,7144,5962,3899,2730,2656
283,6937,5882,3907,2692,2629
284,6758,5831,3985,2631,2580
285,6573,5739,3899,2601,2558
286,6363,5486,3850,2504,2461
287,6100,5287,3634,2537,2331
288,5880,5087,3557,2460,2260
289,5697,5030,3319,2516,2244
290,5645,5001,3326,2483,2197
291,5681,4958,3497,2438,2190
292,5726,4941,3734,2473,2251
293,5904,5142,3773,2576,2299
294,6470,5396,3900,2683,2424
295,7033,5791,4034,2826,2588
296,7302,6112,4079,2919,2707
297,7258,6079,4305,2924,2717
298,7182,6155,4100,2920,2785
299,7132,5942,4136,2960,2880
300,7065,5985,4213,2959,2700
301,7034,6041,4290,2905,2634
302,6987,6025,4275,2888,2609
303,7051,5996,4302,2972,2630
304,7235,6097,4340,2960,2803
305,7191,6064,4327,2956,2756
306,7069,5997,4306,2904,2678
307,6963,5915,4234,2846,2711
308,6856,5880,4206,2817,2658
309,6683,5744,4145,2770,2633
310,6520,5593,4208,2715,2562
311,6254,5461,3952,2686,2449
312,6038,5324,3791,2594,2331
313,5884,5287,3809,2560,2363
314,5861,5158,3861,2527,2360
315,5838,5162,3864,2545,2405
316,5889,5160,3889,2546,2375
317,6049,5256,3916,2545,2447
318,6570,5521,4009,2685,2661
319,7171,6063,4248,2789,2799
320,7326,6408,4371,2910,2894
321,7310,6445,4381,2898,2904
322,7237,6419,4403,2863,2931
323,7249,6291,4404,2817,2868
324,7194,6219,4380,2830,2836
325,7201,6126,4369,2705,2817
326,7192,6100,4369,2903,2735
327,7216,6155,4481,2868,2784
328,7340,6250,4460,2787,2832
329,7281,6260,4461,2796,2825
330,7138,6206,4412,2777,2799
331,7016,6166,4368,2719,2788
332,6966,6100,4317,2689,2762
333,6807,6005,4278,2694,2715
334,6564,5898,4191,2654,2642
335,6313,5719,4100,2571,2584
336,6169,5526,4008,2451,2537
337,6145,5479,3923,2401,2491
338,6085,5440,3918,2395,2482
339,6108,5511,3926,2373,2458
340,6207,5569,3954,2359,2496
341,6385,5731,3993,2365,2532
342,6869,6048,4154,2452,2668
343,7453,6458,4442,2668,2820
344,7697,6659,4532,2729,2919
345,7653,6674,4477,2766,2954
