Time,NO_1,NO_2,NO_3,NO_4,NO_5
2384,4405,4802,3754,2270,2129
2385,4405,4889,3918,2259,2148
2386,4298,4806,3922,2186,2122
2387,4235,4664,3837,2153,2098
2388,4154,4588,3699,2127,2080
2389,4048,4476,3533,2116,2058
2390,4013,4444,3459,2127,2047
2391,3981,4557,3440,2079,1977
2392,4024,4541,3493,2156,2034
2393,4073,4645,3625,2198,2056
2394,4158,4698,3413,2244,2059
2395,4211,4644,3380,2290,2063
2396,4217,4653,3406,2300,2055
2397,4130,4627,3403,2304,2028
2398,4082,4528,3377,2243,1994
2399,4007,4446,3336,2284,1965
2400,3931,4394,3304,2219,1957
2401,3908,4387,3165,2173,1956
2402,3941,4437,3240,2164,1947
2403,3995,4470,3279,2155,1965
2404,4091,4515,3239,2113,1971
2405,4169,4574,3241,2098,1983
2406,4255,4581,3243,2149,2004
2407,4296,4567,3321,2155,2040
2408,4332,4659,3345,2215,2067
2409,4318,4732,3301,2227,2160
2410,4310,4652,3262,2259,2047
2411,4195,4528,3192,2234,2024
2412,4111,4503,3117,2201,1991
2413,4056,4496,3149,2211,1962
2414,4076,4502,3190,2224,1938
2415,4218,4581,3205,2202,1934
2416,4347,4654,3197,2246,1963
2417,4457,4705,3207,2337,1981
2418,4550,4726,3273,2312,1969
2419,4629,4772,3362,2348,1984
2420,4615,4783,3418,2263,2008
2421,4489,4698,3386,2264,1975
2422,4331,4544,3356,2212,1945
2423,4092,4415,3255,2148,1899
2424,3974,4391,3252,2105,1863
2425,3919,4416,3268,2085,1843
2426,3947,4364,3272,2201,1853
2427,4006,4468,3286,2166,1863
2428,4206,4627,3308,2174,1899
2429,4646,4920,3410,2384,2049
2430,5281,5515,3717,2387,2180
2431,5536,5547,3778,2433,2217
2432,5527,5270,3778,2414,2175
2433,5450,5137,3672,2449,2140
2434,5345,5022,3598,2361,2097
2435,5247,4994,3602,2303,1978
2436,5135,4892,3551,2282,1948
2437,5088,4826,3527,2288,1942
2438,5087,4812,3582,2311,1877
2439,5168,4827,3612,2242,1904
2440,5133,4830,3473,2187,1884
2441,5034,5197,3593,2232,1921
2442,4994,5714,3634,2218,1947
2443,4998,6159,3588,2285,1949
2444,4956,6248,3629,2296,2003
2445,4717,5400,3630,2248,1915
2446,4465,4576,3495,2248,1880
2447,4222,4777,3254,2246,1596
2448,4098,4557,3237,2189,1809
2449,4039,4502,3411,2180,1802
2450,4035,4500,3424,2174,1808
2451,4101,4557,3423,2128,1825
2452,4268,5267,3454,2142,1895
2453,4715,6200,3687,2286,1996
2454,5256,6252,3749,2442,2128
2455,5362,5497,3868,2669,2167
2456,5192,5508,3888,2595,2108
2457,5067,5161,3800,2531,2088
2458,4895,4915,3822,2460,1986
2459,4804,4818,3720,2387,2010
2460,4757,4773,3742,2443,1978
2461,4718,4703,3730,2403,1970
2462,4725,4734,3788,2149,2014
2463,4718,4749,3857,2163,2019
2464,4804,4625,3685,2178,1993
2465,4678,4683,3526,2151,1995
2466,4695,4685,3486,2173,2010
2467,4796,4810,3736,2154,2040
2468,4784,4943,3692,2174,2009
2469,4690,4866,3406,2188,1994
2470,4465,4627,3461,2150,1813
2471,4261,4507,3236,2246,1880
2472,4197,4529,3169,2314,1845
2473,4129,4543,3172,2166,1830
2474,4168,4492,3166,2163,1858
2475,4261,4514,3416,2133,1872
2476,4436,4680,3491,2122,1938
2477,4802,4955,3342,2177,1996
2478,5255,5283,3590,2318,2113
2479,5269,5263,3753,2399,2183
2480,5120,5144,3900,2377,2225
2481,4932,4952,3936,2334,2143
2482,4758,4786,3716,2367,2128
2483,4614,4757,3689,2404,2087
2484,4490,4717,3655,2403,2064
2485,4419,4786,3666,2525,2049
2486,4424,4796,3530,2378,2072
2487,4484,4763,3558,2359,2030
2488,4474,4482,3602,2401,2111
2489,4482,4562,3553,2317,1995
2490,4506,4698,3518,2446,1984
2491,4566,4757,3447,2376,2023
2492,4572,4819,3492,2330,2095
2493,4376,4618,3378,2345,2017
2494,4150,4492,3345,2257,1953
2495,3937,4401,3307,2076,1893
2496,3815,4356,3170,2261,1878
2497,3744,4353,3216,2210,1852
2498,3764,4394,3253,2211,1861
2499,3813,4459,3212,2195,1886
2500,3988,4551,3394,2172,1921
2501,4397,4786,3524,2231,2046
2502,4880,5099,3712,2388,2198
2503,4951,5106,3730,2412,2219
2504,4793,5049,3697,2548,2158
2505,4611,4801,3617,2456,2103
2506,4497,4696,3545,2348,2044
2507,4414,4631,3530,2324,1976
2508,4345,4626,3592,2311,1946
2509,4288,4609,3555,2282,1942
2510,4211,4596,3492,2326,1928
2511,4224,4635,3415,2332,1962
2512,4192,4653,3405,2157,1871
2513,4135,4626,3412,2268,1847
2514,4154,4603,3388,2367,1880
2515,4280,4637,3501,2314,1922
2516,4322,4692,3518,2286,1966
2517,4179,4599,3474,2254,1949
2518,3991,4475,3324,2250,1891
2519,3757,4339,3227,2148,1846
2520,3648,4348,3171,2080,1794
2521,3645,4357,3180,2117,1770
2522,3734,4348,3201,2119,1775
2523,3835,4449,3169,2141,1793
2524,3970,4610,3171,2146,1866
2525,4394,4863,3231,2244,1961
2526,4777,5141,3456,2323,2081
2527,4918,5146,3475,2289,2103
2528,4852,5076,3431,2280,2057
2529,4612,4918,3386,2316,2034
2530,4446,4746,3292,2254,1949
2531,4312,4615,3328,2189,1908
2532,4242,4519,3155,2160,1879
2533,4115,4459,3183,2185,1860
2534,4028,4434,3217,2234,1757
2535,3974,4416,3233,2189,1719
2536,3931,4421,3210,2132,1882
2537,3927,4382,3163,2025,1816
2538,3976,4598,3213,2103,1836
2539,3995,4541,3230,2154,1820
2540,3982,4537,3240,2157,1849
2541,3843,4440,3202,2155,1827
2542,3664,4338,3106,2147,1804
2543,3485,4233,3090,2135,1772
2544,3395,4102,3016,2069,1759
2545,3372,4017,3030,2031,1730
2546,3380,4047,3069,1992,1723
2547,3406,4112,3051,1988,1742
2548,3461,4157,3104,1984,1761
2549,3538,4165,3118,1983,1757
2550,3636,4192,3202,1980,1789
2551,3807,4280,3270,2048,1843
2552,3976,4419,3315,2127,1875
2553,3996,4482,3289,2135,1901
2554,3866,4357,3234,2093,1863
2555,3782,4348,3185,1963,1784
2556,3681,4244,3141,1967,1759
2557,3577,4179,3102,1949,1726
2558,3488,4121,3064,1939,1704
2559,3510,4102,3075,1982,1694
2560,3552,4128,3082,2024,1701
2561,3582,4194,3103,2069,1751
2562,3643,4217,3141,2046,1768
2563,3657,4206,3110,2031,1770
2564,3662,4231,3116,2015,1770
2565,3556,4179,3068,2066,1772
2566,3471,4101,2973,2045,1733
2567,3365,3987,2942,1997,1683
2568,3305,3911,2914,1948,1680
2569,3300,3892,2989,1969,1659
2570,3358,3926,2997,1899,1662
2571,3415,3942,2994,1879,1664
2572,3422,3971,3001,1864,1681
2573,3484,4018,3094,1873,1687
2574,3563,4072,3137,1888,1707
2575,3591,4176,3190,1894,1745
2576,3690,4241,3125,1944,1778
2577,3739,4241,3107,1909,1782
2578,3681,4156,3083,1828,1744
2579,3558,4069,3076,1701,1642
2580,3446,4033,3030,1804,1687
2581,3364,4014,3003,1823,1674
2582,3345,3909,3002,1853,1640
2583,3325,3969,2973,1866,1664
2584,3388,4005,2948,1868,1655
2585,3364,4140,2952,1862,1696
2586,3089,4552,2985,1906,1727
2587,3208,4602,3011,1941,1748
2588,3362,4546,3069,1990,1774
2589,3357,4302,3006,2008,1737
2590,3181,4190,2916,1965,1693
2591,3016,4142,2969,1946,1649
2592,2945,4036,2905,1962,1600
2593,2903,4021,2905,1947,1584
2594,2976,3943,2905,1942,1601
2595,3061,3966,2925,1961,1625
2596,3269,4225,3018,1967,1658
2597,3535,4729,3184,2038,1765
2598,3734,5262,3388,2110,1905
2599,3647,5477,3411,2100,1942
2600,3472,5397,3331,2090,1915
2601,3367,5183,3292,1995,1866
2602,3456,4830,3239,2035,1802
2603,3355,4898,3212,2019,1746
2604,3297,4907,3203,2012,1745
2605,3310,4879,3177,1964,1713
2606,3272,4838,3062,1976,1701
2607,3297,4763,3074,2015,1687
2608,3119,4754,2947,1991,1677
2609,3087,4725,2899,1886,1665
2610,3056,4744,2927,1881,1673
2611,3167,4727,2982,1971,1705
2612,3261,4774,3061,1968,1745
2613,3255,4525,3089,2007,1720
2614,3112,4378,3021,1955,1672
2615,3063,4098,2877,1846,1605
2616,2989,4073,2779,1824,1582
2617,2934,4143,2810,1789,1568
2618,2847,4271,2818,1841,1564
2619,2926,4339,2876,1888,1580
2620,3093,4484,2942,1872,1629
2621,3574,4594,3097,2024,1745
2622,3813,5031,3237,2075,1899
2623,3950,5101,3293,2114,1921
2624,3847,4914,3218,2000,1919
2625,3783,4767,3132,2007,1886
2626,3526,4767,3018,1994,1832
2627,3479,4610,3114,1947,1885
2628,3512,4450,3236,1980,2053
2629,3508,4432,3126,1991,1764
2630,3483,4530,3110,2000,1859
2631,3434,4611,3043,1955,1840
2632,3342,4590,3189,1998,1808
2633,3335,4612,3227,1979,1830
2634,3406,4660,3199,1977,1836
2635,3549,4627,3251,1936,1809
2636,3633,4534,3277,1909,1817
2637,3578,4080,3107,1937,1766
2638,3348,3877,2907,1848,1709
2639,3171,3831,2984,1673,1659
2640,3026,3900,2999,1748,1650
2641,2894,3839,2933,1775,1626
2642,2910,3817,2974,1873,1652
2643,2910,4005,2964,1944,1661
2644,2991,4121,2955,1869,1678
2645,3303,4392,3111,2006,1769
2646,3802,4738,3320,2161,1936
2647,3940,4866,3415,2113,1988
2648,3910,4887,3402,2144,1971
2649,4055,4829,3428,2171,1917
2650,4151,4638,3415,2150,1937
2651,4135,4494,3244,1993,1945
2652,4179,4425,3179,2119,1887
2653,4236,4510,3121,2132,1862
2654,4318,4508,3132,2053,1887
2655,4275,4573,3298,2127,1883
2656,4184,4638,3442,2210,1852
2657,4203,4586,3460,2165,1835
2658,4139,4591,3344,2163,1853
2659,4174,4532,3385,2193,1878
2660,4239,4619,3484,2204,1892
2661,4210,4469,3435,2158,1876
2662,4026,4352,3357,2125,1814
2663,3858,4201,3226,2065,1770
2664,3740,4073,3078,2023,1726
2665,3698,4048,3128,2007,1710
2666,3716,4001,3189,2023,1718
2667,3799,4025,3019,2020,1751
2668,3887,4197,2938,2030,1762
2669,4177,4699,3267,2156,1907
2670,4490,4887,3500,2279,1970
2671,4480,4850,3700,2323,1986
2672,4351,4650,3680,2294,1966
2673,4346,4643,3766,2200,1944
2674,4311,4571,3583,2175,1877
2675,4201,4437,3677,2151,1901
2676,4110,4368,3684,2127,1858
2677,4115,4397,3499,2168,1877
2678,4122,4307,3449,2134,1890
2679,4180,4416,3458,2065,1891
2680,3986,4650,3514,2019,1870
2681,3776,4638,3509,1994,1757
2682,3706,4807,3493,2099,1821
2683,3871,4719,3491,2157,1816
2684,4026,4772,3621,2197,1905
2685,4079,4676,3674,2091,1874
2686,3900,4508,3390,2107,1818
2687,3632,4492,3295,2072,1749
2688,3464,4357,3303,2080,1711
2689,3508,4325,3412,2131,1696
2690,3557,4287,3318,2095,1718
2691,3590,4338,3347,2055,1745
2692,3704,4502,3456,2056,1751
2693,4051,4721,3487,2152,1848
2694,4366,5015,3664,2260,2053
2695,4285,5113,3739,2254,2046
2696,4233,5119,3749,2221,2006
2697,4093,5005,3621,2209,1948
2698,4076,4879,3738,2188,1964
2699,4054,4591,3683,2160,1894
2700,4074,4328,3551,2132,1861
2701,4011,4359,3508,2072,1867
2702,3911,4424,3656,2103,1860
2703,3938,4543,3628,2055,1857
2704,3807,4584,3571,2103,1849
2705,3831,4551,3523,2070,1846
2706,3748,4700,3476,2051,1863
2707,3716,4851,3534,2082,1861
2708,3822,4859,3530,2122,1880
2709,3778,4634,3250,2120,1848
2710,3725,4596,3509,2079,1817
2711,3586,4518,3309,2028,1785
2712,3441,4449,3317,1968,1756
2713,3419,4355,3379,1961,1752
2714,3372,4422,3482,1989,1753
2715,3407,4532,3398,2019,1755
2716,3459,4456,3145,1986,1778
2717,3554,4441,3192,2007,1774
2718,3607,4598,3372,2053,1808
2719,3616,4880,3537,2109,1857
2720,3718,4846,3605,2153,1876
2721,3831,4786,3475,2177,1860
2722,3879,4659,3431,2157,1774
2723,3903,4499,3526,2121,1824
2724,3968,4330,3547,2125,1798
2725,3976,4192,3584,2086,1802
2726,3946,4199,3419,2064,1806
2727,3695,4459,3497,2048,1804
2728,3735,4587,3687,2083,1825
2729,3808,4746,3643,2091,1837
2730,3755,4724,3498,2098,1863
2731,3625,4417,3394,2074,1822
2732,3671,4811,3345,2073,1818
2733,3659,4631,3339,2077,1817
2734,3606,4539,3351,2039,1806
2735,3534,4435,3237,1994,1738
2736,3493,4384,3218,1977,1746
2737,3444,4400,3215,2001,1741
2738,3480,4432,3235,1966,1734
2739,3568,4428,3200,1973,1757
2740,3660,4342,3219,1975,1758
2741,3820,4290,3194,1951,1759
2742,3780,4393,3259,1973,1770
2743,3780,4418,3433,2015,1799
2744,3939,4407,3419,2047,1825
2745,4051,4518,3388,2018,1829
2746,4176,4220,3378,2009,1802
2747,4149,4229,3435,1981,1710
2748,4113,4099,3442,1972,1761
2749,4109,4101,3348,1951,1730
2750,4059,4128,3433,1988,1754
2751,3988,4202,3416,2001,1752
2752,3870,4327,3259,2025,1790
2753,3841,4446,3401,2113,1782
2754,3817,4716,3320,2143,1829
2755,3792,5042,3389,2171,1840
2756,3731,5240,3411,2143,1934
2757,3644,4946,3421,2157,1862
2758,3546,4779,3310,2115,1802
2759,3793,4234,3320,2060,1717
2760,3711,4169,3283,2040,1709
2761,3686,4169,3187,2035,1710
2762,3747,4198,3219,2048,1708
2763,3828,4252,3243,2035,1731
2764,3949,4308,3270,2079,1827
2765,4340,4562,3396,2188,1953
2766,4744,4888,3597,2310,2032
2767,4838,4859,3634,2354,2038
2768,4807,4893,3581,2321,1998
2769,4660,4954,3523,2295,2007
2770,4497,4720,3513,2266,1899
2771,4468,4630,3479,2215,1818
2772,4316,4486,3457,2235,1861
2773,4224,4451,3468,2241,1864
2774,4182,4447,3469,2247,1841
2775,4156,4498,3458,2228,1891
2776,4091,4512,3432,2170,1881
2777,4037,4494,3319,2119,1897
2778,4045,4566,3337,2143,1913
2779,4093,4554,3379,2175,1892
2780,4176,4604,3365,2222,1903
2781,4072,4505,3337,2189,1867
2782,3856,4305,3392,2137,1807
2783,3681,4188,3233,2108,1856
2784,3626,4207,3257,2020,1777
2785,3632,4203,3277,2050,1760
2786,3661,4227,3290,2107,1765
2787,3729,4279,3203,2115,1767
2788,3813,4392,3245,2073,1820
2789,4213,4658,3354,2137,1918
2790,4646,4934,3543,2219,1997
2791,4688,4954,3588,2246,2040
2792,4515,4856,3500,2310,1977
2793,4338,4724,3431,2242,1969
2794,4224,4568,3419,2267,1918
2795,4119,4557,3422,2217,1850
2796,4027,4569,3436,2215,1895
2797,3971,4534,3407,2188,1915
2798,3972,4482,3368,2191,1889
2799,4050,4458,3359,2188,1894
2800,4051,4447,3396,2170,1967
2801,4020,4407,3413,2191,1876
2802,4042,4466,3402,2231,1892
2803,4095,4520,3338,2221,1891
2804,4147,4582,3373,2199,1923
2805,4034,4490,3453,2165,1853
2806,3801,4262,3262,2178,1811
2807,3653,4184,3170,2140,1763
2808,3587,4145,3164,2130,1736
2809,3599,4176,3161,2076,1736
2810,3640,4162,3119,2080,1757
2811,3715,4204,3078,2096,1798
2812,3852,4306,3107,2147,1907
2813,4274,4607,3243,2201,2011
2814,4681,4851,3408,2315,2078
2815,4750,4768,3412,2399,2085
2816,4555,4688,3367,2388,1997
2817,4344,4527,3483,2310,1989
2818,4191,4368,3387,2266,1927
2819,4167,4408,3288,2234,1836
2820,4107,4384,3261,2222,1870
2821,4098,4353,3305,2241,1867
2822,4079,4475,3293,2243,1864
2823,4103,4432,3351,2234,1840
2824,4119,4400,3353,2190,1797
2825,4087,4397,3307,2211,1779
2826,4115,4388,3298,2247,1788
2827,4108,4470,3295,2206,1782
2828,4128,4468,3286,2185,1852
2829,4022,4420,3335,2158,1821
2830,3832,4310,3272,2070,1780
2831,3631,4173,3142,1965,1710
2832,3510,4019,3076,2090,1724
2833,3481,3988,3076,2117,1745
2834,3520,4022,3103,2179,1739
2835,3575,4060,3115,2179,1760
2836,3697,4238,3160,2237,1807
2837,4121,4466,3296,2321,1941
2838,4510,4768,3466,2368,2041
2839,4612,4748,3476,2395,2029
2840,4504,4592,3393,2367,2007
2841,4343,4437,3334,2337,1965
2842,4227,4472,3335,2270,1951
2843,4233,4489,3316,2265,1903
2844,4136,4568,3314,2238,1891
2845,4100,4560,3375,2223,1874
2846,4075,4522,3366,2217,1863
2847,4139,4445,3424,2290,1902
2848,4088,4453,3416,2229,1884
2849,4023,4393,3332,2219,1718
2850,4026,4504,3317,2222,1824
2851,4041,4463,3264,2300,1860
2852,4084,4533,3291,2264,1935
2853,4058,4478,3361,2159,1935
2854,3840,4289,3422,2180,1877
2855,3623,4148,3332,2143,1840
2856,3497,4020,3290,2111,1831
2857,3455,4053,3287,2114,1825
2858,3464,4144,3185,2117,1835
2859,3514,4226,3156,2165,1849
2860,3678,4299,3291,2150,1871
2861,4093,4574,3467,2267,1966
2862,4506,4859,3524,2358,2094
2863,4563,4901,3682,2392,1914
2864,4428,4825,3694,2342,1779
2865,4268,4687,3565,2363,1734
2866,4126,4617,3532,2379,1657
2867,4085,4529,3464,2343,1609
2868,3983,4452,3491,2301,1617
2869,3891,4382,3455,2224,1654
2870,3818,4356,3474,2176,1708
2871,3797,4364,3419,2180,1732
2872,3803,4300,3332,2194,1786
2873,3794,4380,3383,2253,1833
2874,3780,4377,3261,2219,1908
2875,3761,4342,3298,2244,1867
2876,3769,4374,3271,2203,1842
2877,3717,4319,3264,2205,1847
2878,3610,4225,3154,2127,1774
2879,3456,4094,3189,2080,1787
2880,3350,4043,3140,2049,1772
2881,3317,4039,3095,2067,1755
2882,3339,4038,3111,2064,1742
2883,3353,4070,3133,2077,1744
2884,3378,4142,3097,2070,1754
2885,3438,4134,3114,2067,1780
2886,3475,4127,3133,2085,1797
2887,3573,4198,3160,2096,1801
2888,3672,4291,3232,2129,1816
2889,3694,4303,3272,2132,1840
2890,3674,4244,3279,2135,1820
2891,3574,4145,3254,2120,1826
2892,3528,4069,3214,2079,1750
2893,3484,4014,3167,2103,1748
2894,3455,4012,3156,2111,1754
2895,3497,4055,3149,2096,1800
2896,3537,4122,3171,2099,1831
2897,3580,4179,3152,2125,1810
2898,3609,4182,3144,2144,1811
2899,3580,4185,3138,2118,1842
2900,3580,4270,3201,2074,1865
2901,3544,4226,3242,2081,1808
2902,3459,4139,3159,2080,1784
2903,3376,4096,3126,2091,1766
2904,3296,3999,3117,2056,1695
2905,3258,3982,3087,2025,1693
2906,3254,3917,3109,2028,1706
2907,3274,3988,3103,2037,1711
2908,3260,3962,3085,2031,1724
2909,3306,4009,3106,2070,1715
2910,3323,4080,3140,2044,1740
2911,3406,4141,3122,2050,1748
2912,3513,4187,3189,2099,1794
2913,3572,4198,3271,2088,1799
2914,3534,4252,3208,2094,1817
2915,3506,4171,3109,2055,1819
2916,3494,4192,3133,2001,1792
2917,3464,4242,3223,1990,1805
2918,3456,4176,3166,1994,1806
2919,3479,4205,3129,2026,1835
2920,3516,4276,3206,2033,1818
2921,3550,4311,3196,2064,1838
2922,3581,4347,3273,2085,1852
2923,3633,4236,3243,2088,1792
2924,3705,4258,3220,2125,1692
2925,3647,4231,3186,2161,1851
2926,3454,4123,3133,2140,1781
2927,3253,4002,3078,2082,1713
2928,3164,4010,3034,2079,1697
2929,3131,4008,3019,2101,1693
2930,3157,4009,3027,2096,1699
2931,3218,4051,3033,2109,1708
2932,3323,4135,3070,2112,1721
2933,3754,4451,3218,2192,1868
2934,4233,5076,3408,2263,2017
2935,4375,4899,3464,2243,2019
2936,4286,4831,3413,2315,2041
2937,4149,4739,3394,2206,2018
2938,4114,4666,3347,2198,1923
2939,4164,4629,3326,2150,1904
2940,4156,4632,3299,2106,1927
2941,4197,4583,3278,2074,1913
2942,4211,4549,3312,2081,1940
2943,4141,4507,3308,2110,1930
2944,4132,4484,3263,2096,1944
2945,4155,4433,3247,2091,1932
2946,4026,4432,3263,2110,1905
2947,4067,4477,3284,2132,1922
2948,4075,4464,3245,2113,1952
2949,3960,4354,3264,2185,1907
2950,3719,4143,3038,2153,1814
2951,3526,3865,2964,2068,1790
2952,3440,3777,2970,2049,1777
2953,3400,3785,2935,2010,1764
2954,3409,3798,2953,2009,1765
2955,3403,3832,2952,1961,1767
2956,3509,4064,2984,2068,1811
2957,3927,4283,3207,2695,1907
2958,4448,4507,3423,2272,2059
2959,4638,4736,3475,2253,2050
2960,4637,4657,3436,2139,2036
2961,4484,4707,3361,2113,1999
2962,4382,4735,3307,2095,1932
2963,4323,4728,3260,2032,1900
2964,4266,4678,3435,2070,1932
2965,4326,4753,3232,2063,1913
2966,4353,4724,3336,2020,1910
2967,4457,4572,3324,2021,1905
2968,4430,4566,3402,2043,1881
2969,4436,4495,3182,2016,1873
2970,4439,4527,3116,2047,1861
2971,4355,4599,3164,2037,1856
2972,4326,4563,3212,2025,1880
2973,4158,4429,3126,2004,1834
2974,3913,4233,3056,1936,1802
2975,3745,4320,3021,1890,1771
2976,3590,4294,3008,1898,1740
2977,3514,4218,3013,1940,1726
2978,3547,4156,3036,1970,1722
2979,3613,4189,2882,1931,1739
2980,3733,4361,2855,1899,1748
2981,4167,4614,3183,2053,1869
2982,4771,4948,3311,2172,1975
2983,4992,4890,3156,2119,1996
2984,4950,4740,3248,2045,1951
2985,4867,4681,3271,2074,2074
2986,4771,4537,3281,2054,1928
2987,4740,4618,3248,2024,1899
2988,4730,4544,3201,2008,1871
2989,4752,4573,3147,2038,1751
2990,4864,4592,3219,2087,1834
2991,4932,4876,3252,2075,1853
2992,4888,4364,3197,2050,1863
2993,4871,4624,3204,2057,1901
2994,4806,4601,3213,2038,1860
2995,4705,4505,3212,2042,1872
2996,4654,4550,3242,2045,1880
2997,4499,4489,3140,2049,1799
2998,4208,4258,3025,2009,1775
2999,3987,4177,2911,1902,1730
3000,3866,4151,2849,1877,1707
3001,3835,4100,2939,1862,1689
3002,3812,4078,2991,1852,1687
3003,3847,4109,3028,1878,1710
3004,3952,4168,2977,1921,1737
3005,4362,4494,3080,1965,1851
3006,4832,4901,3279,2114,1974
3007,4928,5018,3080,2145,2010
3008,4781,4840,3122,2100,2028
3009,4579,4838,3263,2073,2011
3010,4488,4804,3408,2011,2000
3011,4438,4748,3326,1996,1994
3012,4355,4697,3307,1990,1980
3013,4227,4683,3268,1998,1986
3014,4222,4683,3275,2037,1976
3015,4161,4615,3235,2021,1954
3016,4115,4622,3110,1989,1936
3017,4106,4586,3025,1966,1948
3018,4086,4542,3041,1982,1929
3019,4091,4533,3108,2008,1935
3020,4154,4590,3146,1972,1944
3021,4118,4544,3124,2008,1917
3022,3908,4372,3008,1986,1861
3023,3714,4254,2995,1920,1773
3024,3606,4233,3001,1921,1742
3025,3579,4211,3022,1982,1731
3026,3611,4223,3001,1970,1738
3027,3655,4269,3005,2034,1772
3028,3728,4365,3032,2040,1801
3029,4126,4653,3196,2101,1929
3030,4545,4879,3384,2200,2050
3031,4572,4871,3360,2253,2097
3032,4490,4819,3247,2244,2015
3033,4360,4700,3213,2191,1962
3034,4259,4610,3153,2146,1922
3035,4246,4528,3103,2142,1890
3036,4103,4462,3096,2084,1826
3037,4030,4516,3133,2057,1835
3038,3960,4336,3107,2023,1830
3039,3936,4419,3124,2033,1828
3040,3941,4447,3122,2044,1846
3041,3891,4391,3099,2039,1790
3042,3848,4440,3163,2036,1872
3043,3786,4438,3161,2021,1824
3044,3783,4440,3120,2040,1821
3045,3755,4420,3117,2047,1806
3046,3630,4155,3064,2077,1775
3047,3502,4215,3052,2051,1767
3048,3410,4196,2996,2022,1720
3049,3381,4158,2929,1991,1746
3050,3407,4104,2955,1954,1651
3051,3451,4091,2961,1919,1879
3052,3449,4071,2953,1917,1771
3053,3480,4121,3024,1948,1761
3054,3507,4226,3113,1973,1808
3055,3610,4254,3197,2095,1856
3056,3727,4281,3258,2097,1859
3057,3773,4369,3258,2116,1919
3058,3690,4285,3214,2136,1883
3059,3604,4269,3164,2100,1886
3060,3530,4188,3102,2051,1884
3061,3470,4160,3091,2004,1851
3062,3474,4087,3101,1954,1839
3063,3482,4110,3083,1936,1837
3064,3514,4105,3136,1977,1779
3065,3587,4272,3140,2042,1869
3066,3604,4195,3131,2062,1874
3067,3581,4166,3111,2049,1852
3068,3575,4183,3079,1990,1822
3069,3550,4127,3050,1993,1792
3070,3408,3917,3060,2012,1745
3071,3270,3741,3017,1909,1749
3072,3218,3690,2953,1855,1765
3073,3166,3836,2947,1937,1723
3074,3142,3862,2929,1926,1763
3075,3091,3964,2964,1898,1759
3076,3080,3966,3016,1874,1767
3077,3158,4003,3017,1875,1768
3078,3301,4094,3005,1879,1777
3079,3474,4199,3022,1920,1820
3080,3722,4388,3006,1904,1858
3081,3958,4505,2871,1958,1871
3082,4091,4493,2758,1893,1901
3083,4131,4482,2910,1933,1919
3084,4166,4510,2763,1909,1849
3085,4152,4412,2907,1862,1899
3086,4162,4311,3094,1886,1890
3087,4209,4395,3124,1867,1884
3088,4174,4492,3106,1926,1877
3089,4178,4399,3122,2014,1881
3090,4118,4367,3151,2023,1888
3091,4033,4182,2925,2032,1866
3092,3996,4185,3014,2079,1900
3093,3854,4092,3043,2010,1835
3094,3621,4036,3130,2040,1773
3095,3528,3949,2920,1988,1726
3096,3414,3760,2988,1934,1678
3097,3410,3775,2901,1997,1687
3098,3379,3730,2858,1916,1687
3099,3403,3797,2818,1932,1690
3100,3418,4025,2803,1994,1738
3101,3512,4262,2859,2073,1834
3102,3831,4881,3066,2171,1902
3103,3947,5109,3184,2194,1989
3104,3882,5189,3211,2106,1963
3105,3893,5095,3142,2063,1884
3106,3801,5116,3075,2088,1917
3107,3990,4863,3060,2045,1889
3108,3995,4703,3003,2049,1851
3109,4099,4648,2996,2062,1857
3110,4093,4650,2909,2072,1832
3111,4087,4627,2882,2028,1900
3112,4025,4684,2841,2028,1871
3113,3902,4795,2606,1937,1830
3114,3813,4724,2632,1961,1854
3115,3798,4573,2690,1969,1847
3116,3760,4597,2748,1994,1827
3117,3724,4487,2733,1976,1810
3118,3456,4276,2723,1924,1715
3119,3323,3932,2664,1829,1714
3120,3183,3825,2567,1829,1672
3121,3110,3863,2526,1841,1630
3122,3122,3943,2395,1803,1637
3123,3167,3928,2326,1816,1674
3124,3178,3904,2622,1826,1660
3125,3602,4205,3028,1952,1820
3126,4068,4347,3063,2097,2071
3127,4245,4536,2946,2143,1954
3128,4190,4574,2844,2042,1844
3129,4099,4495,2917,2125,1883
3130,4055,4546,2861,2112,1843
3131,3991,4416,2930,2099,1836
3132,3944,4179,2939,2130,1784
3133,3917,4165,2920,2073,1814
3134,3901,4354,2872,2103,1795
3135,3920,4332,2855,2078,1802
3136,3917,4292,2810,2059,1809
3137,3876,4241,2696,2031,1766
3138,3796,4148,2690,1974,1783
3139,3754,4192,2777,2011,1788
3140,3719,4235,2711,1948,1782
3141,3667,4214,2712,1927,1783
3142,3466,4044,2745,1857,1718
3143,3229,3889,2693,1831,1697
3144,3091,3829,2690,1786,1667
3145,3017,3752,2632,1741,1659
3146,3012,3730,2601,1744,1643
3147,3000,3766,2611,1778,1651
3148,3034,3820,2698,1790,1677
3149,3468,4083,2855,1841,1762
3150,3950,4416,3044,2026,1943
3151,4130,4798,3073,2109,1907
3152,4210,4837,3044,1993,1926
3153,4256,4544,3045,1960,1932
3154,4228,4343,3062,2004,1880
3155,4210,4318,2988,1937,1823
3156,4182,4383,3001,1918,1850
3157,4127,4347,2995,1864,1832
3158,4108,4341,3079,1837,1841
3159,4071,4363,3085,1883,1871
