NO1 NO2 NO3 NO4 NO5 DE-LU DK1 FI GB NL SE1 SE2 SE3
 2110.476619  3671.835471  2784.928888  3080.800026  2577.104063 30014.675594   230.000000  5203.000000 15202.000000  7536.500000  2321.000000  2472.000000  7306.807139
 2122.503167  3543.825028  2743.717504  3070.090901  2578.815706 29633.835369     0.000000  5196.000000 15370.500000  7262.000000  2052.000000  2429.000000  7196.410832
 2121.480220  3399.978706  2686.228982  3057.087993  2577.351008 28942.310570     0.000000  5193.000000 15198.500000  6677.500000  1996.000000  2386.000000  7133.055963
 2115.782090  3402.143881  2830.162881  3121.175565  2578.004384 29100.714578     0.000000  5229.000000 14877.000000  6672.000000  2119.000000  2487.000000  7346.471732
 2108.097612  3782.751566  2839.045011  3161.679564  2577.326803 30747.750000     0.000000  5338.000000 15064.000000  6935.000000  3155.000000  2933.000000  7424.384455
 2112.119049  3958.523656  2973.263434  3205.147087  2579.811005 35097.250000     0.000000  5856.000000 17635.000000  7415.500000  3677.000000  3284.000000  7839.910829
 2110.925949  4131.166248  3047.239288  3192.782472  2692.352094 39606.750000     0.000000  6000.000000 20995.000000  7777.250000  4200.000000  3819.000000  7950.000000
 2112.609190  3916.163360  3101.477275  3163.623575  2693.978968 39308.250000     0.000000  6003.000000 22418.500000  8038.250000  4189.000000  3817.000000  8172.000000
 2105.975952  4011.567994  3049.171542  3155.720417  2689.338791 38256.000000     0.000000  5917.000000 22625.000000  7679.000000  4190.000000  3796.000000  8307.000000
 2110.490502  4011.867438  3039.302454  3164.611509  2685.980199 36949.750000   193.000000  5900.000000 22052.000000  7343.500000  4192.000000  3773.000000  8356.000000
 2124.071410  3946.093131  3021.538273  3158.684086  2687.664458 36684.000000   398.000000  5843.000000 21583.500000  6608.000000  4182.000000  3793.000000  8317.000000
 2117.325496  3901.022801  3010.682405  3128.059183  2689.798448 37051.250000   428.000000  5853.000000 21091.000000  6280.250000  4181.000000  3811.000000  8375.000000
 2107.426011  3930.941380  2985.023124  3160.659882  2692.427207 36870.250000   427.000000  5800.000000 20368.500000  6223.250000  4180.000000  3876.000000  8318.000000
 2102.938553  4065.965773  2999.826549  3152.756715  2696.214369 36094.250000   334.000000  5772.000000 20452.500000  6424.500000  4179.000000  3863.000000  8262.000000
 2098.984135  4207.205699  2999.826543  3126.083416  2697.844299 35956.750000   200.000000  5836.000000 20359.000000  6555.500000  4203.000000  3924.000000  8253.000000
 2096.341528  4451.349360  2961.337367  3151.768787  2699.818200 35703.000000     0.000000  5860.000000 21475.000000  7443.000000  4218.000000  3992.000000  8220.000000
 2082.303554  4543.460002  2938.638672  3128.059197  2700.530277 36712.750000     0.000000  6024.000000 22540.500000  8455.750000  4144.000000  4068.000000  8289.000000
 2087.732694  4712.455025  2970.219564  3125.095472  2693.455536 38689.750000     0.000000  6109.000000 23556.000000  9200.250000  3999.000000  4043.000000  8205.000000
 2089.896809  4956.821198  2912.979324  3140.901925  2751.324208 40299.250000     0.000000  6190.000000 23803.500000  9439.000000  3998.000000  3890.000000  8167.000000
 2091.839264  5040.139435  2982.062195  3145.841395  2717.897755 41197.000000    80.000000  6114.000000 23701.000000  9482.000000  3750.000000  3642.000000  8476.000000
 2098.153198  5051.936401  2984.036144  3169.551030  2664.296964 39911.250000   166.000000  6179.000000 23533.000000  9520.500000  3654.000000  3563.000000  8187.000000
 2093.311303  4443.328033  2925.808998  3106.325417  2580.539446 37853.250000   180.000000  6059.000000 22203.000000  9300.000000  3257.000000  3518.000000  7956.642368
 2103.786508  4356.736120  2911.992247  3127.071293  2582.897713 35050.500000   168.000000  5903.000000 19871.500000  9097.750000  2864.000000  3414.000000  7773.107324
 2113.813075  4009.383922  2819.223778  3057.918299  2583.278480 34093.500000   683.000000  5379.000000 18643.500000  8069.250000  2774.000000  2997.000000  7468.904812
 2125.896686  3641.715555  2786.656017  3035.196617  2584.902457 33061.250000   741.000000  5167.000000 17916.500000  7722.750000  2689.000000  2849.000000  7246.020210
 2110.818484  3524.295207  2744.461978  3033.220804  2586.975516 32188.000000   844.000000  5100.000000 17757.000000  7671.750000  2683.000000  2860.000000  7143.736844
 2099.715933  3517.404956  2732.617973  3032.232901  2588.789334 32271.250000   927.000000  5051.000000 17682.000000  7596.000000  2682.000000  2900.000000  7112.641200
 2090.750162  3684.927169  2825.228480  3080.671736  2587.567438 32555.500000  1038.000000  5277.000000 17611.500000  7626.750000  2684.000000  2894.000000  7396.618447
 2086.903591  3697.723094  2857.796107  3089.562737  2586.574894 34834.750000  1080.000000  5635.000000 17447.500000  7823.750000  3097.000000  3010.000000  7476.458838
 2098.955371  3853.874951  2953.525490  3157.727877  2585.589536 39281.500000  1091.000000  5936.000000 19573.500000  7795.500000  3786.000000  3322.000000  7893.301216
 2083.286919  4373.187305  3103.513383  3255.597859  2698.168848 42843.250000  1084.000000  6079.000000 22607.000000  7717.500000  4381.000000  3686.000000  8288.000000
 2074.245537  4403.934500  3115.439786  3240.503637  2699.549396 44397.000000  1030.000000  6027.000000 24490.500000  7379.750000  4444.000000  3923.000000  8901.000000
 2075.661358  4611.762930  3136.862505  3227.662215  2699.899872 44322.250000   942.000000  5986.000000 24238.000000  6814.000000  4457.000000  3937.000000  9097.000000
 2067.267271  4951.411600  3126.011077  3225.686591  2794.292476 43961.000000   836.000000  5912.000000 23282.500000  5982.500000  4458.000000  3943.000000  9250.000000
 2067.826646  4961.214562  3101.906335  3233.589007  2929.533689 44584.750000   771.000000  5873.000000 22738.500000  4844.500000  4457.000000  3880.000000  9247.000000
