NO1 NO2 NO3 NO4 NO5 DE-LU DK1 FI GB NL SE1 SE2 SE3
 3366.426376  3635.800065  2718.811776  1768.004392  1840.908741 30615.500000  1230.000000  5203.000000 15922.000000  7636.500000  2521.000000  3272.000000  6643.000000
 3028.794523  3842.130398  2622.286425  1720.953590  1729.485031 29948.750000   966.000000  5196.000000 16090.500000  7362.000000  2252.000000  3229.000000  6632.000000
 2181.737601  4365.704872  2336.284982  1556.999993  1459.997589 29277.750000   854.000000  5193.000000 15918.500000  6777.500000  2196.000000  3186.000000  6640.000000
 2148.689097  4145.467702  2350.321027  1535.515992  1456.159433 29433.750000   694.000000  5229.000000 15597.000000  6772.000000  2319.000000  3287.000000  6555.000000
 2221.501217  3818.767979  2359.473956  1576.036090  1477.069975 31547.750000   572.000000  5338.000000 15784.000000  7035.000000  3355.000000  3733.000000  6532.000000
 2524.037215  3931.804069  2476.340627  1619.292113  1555.861992 35897.250000   635.000000  5856.000000 18355.000000  7515.500000  3877.000000  4084.000000  6573.000000
 2889.025454  4109.808206  2634.339043  1649.848985  1641.520000 40406.750000   574.000000  6000.000000 21715.000000  7877.250000  4400.000000  4619.000000  6650.000000
 3058.723438  4263.460011  2746.881681  1652.999524  1692.536068 40108.250000   239.000000  6003.000000 23138.500000  8138.250000  4389.000000  4617.000000  6872.000000
 3093.030441  4453.876263  2699.558139  1656.811098  1706.112031 39056.000000    85.000000  5917.000000 23345.000000  7779.000000  4390.000000  4596.000000  7007.000000
 3094.118205  4766.851924  2689.230957  1664.587509  1670.996012 37749.750000    -0.000000  5900.000000 22772.000000  7443.500000  4392.000000  4573.000000  7056.000000
 3120.489041  4854.227910  2671.494273  1658.560086  1711.032048 37484.000000    -0.000000  5843.000000 22303.500000  6708.000000  4382.000000  4593.000000  7017.000000
 3097.942719  4892.544034  2660.578405  1628.191183  1675.747993 37851.250000    -0.000000  5853.000000 21811.000000  6380.250000  4381.000000  4611.000000  7075.000000
 3096.798513  4916.400040  2635.083124  1660.627882  1674.764046 37670.250000    -0.000000  5800.000000 21088.500000  6323.250000  4380.000000  4676.000000  7018.000000
 3056.434538  4998.916124  2649.826549  1652.648715  1673.788033 36894.250000    -0.000000  5772.000000 21172.500000  6524.500000  4379.000000  4663.000000  6962.000000
 3012.446201  5044.126256  2649.670543  1626.187415  1675.003949 36756.750000    -0.000000  5836.000000 21079.000000  6655.500000  4403.000000  4724.000000  6953.000000
 3040.585076  4992.863492  2611.245367  1651.672787  1732.867996 36503.000000    11.000000  5860.000000 22195.000000  7543.000000  4418.000000  4792.000000  6920.000000
 2970.837840  4930.078625  2588.766672  1628.047197  1743.319983 37512.750000   200.000000  6024.000000 23260.500000  8555.750000  4344.000000  4868.000000  6989.000000
 2921.207542  4882.509645  2619.987564  1625.159472  1657.045039 39489.750000   540.000000  6109.000000 24276.000000  9300.250000  4199.000000  4843.000000  6905.000000
