Type,0,1,2,3
ratio,0.9,0,0.05,0.05
dynamic_tariff,0,0,1,1
smart_management,0,0,1,1
smart_appliance,0,0,0,1
PV_scale,0,0,0,0
BESS_energy,0,0,10,10
BESS_capacity,0,0,1,1
EV_energy,0,0,24,24
EV_capacity,0,0,4,4
redispatch,0,0,0,1
control_reserve,0,0,0,1
