DSO,cluster,x,y,lon,lat
54,1,4371350.13746426,4061435.53540165,10.8908442,59.6507055
116,1,4366679.56153943,4091619.27747756,10.8146741,59.9227826
116,1,4373271.57253122,4092586.49947392,10.9324661,59.9307553
147,1,4343037.75494473,4476837.27940899,10.43859,63.39435
147,1,4341941.28522827,4469242.60928144,10.4158036,63.325927
175,1,4667151.67239329,5122269.74646543,18.5934433,69.034406
46,1,4352456.02103999,4052468.70721408,10.5552629,59.5717628
62,1,4335346.44015343,4077170.28515068,10.2548964,59.794893
116,1,4371642.41451562,4098991.70057311,10.9049445,59.9885785
50,1,4336446.9540343,4051730.81956929,10.2726218,59.5659632
58,1,4312248.08117817,4068855.2953009,9.8448425,59.7202209
31,1,4377063.66056679,4016351.73764102,10.9803503,59.2444644
112,1,4081864.00777485,4093425.45749915,5.7379935,59.8767554
101,1,4188069.46563198,4189830.90445096,7.5664399,60.7885243
51,1,4346895.3663344,4072553.59231791,10.4595248,59.7528297
40,1,4073822.40888522,3985613.90926658,5.7165938,58.904538
40,1,4070400.25230714,3992262.0297891,5.6500646,58.9623423
116,1,4349109.32941713,4088657.91021785,10.5009374,59.8976013
58,1,4313137.98989359,4068612.87889801,9.860628,59.7180563
62,1,4337757.35725045,4081091.75990787,10.2980396,59.8300943
62,1,4333223.36944855,4085072.47856944,10.2176294,59.866062
50,1,4341588.58111646,4018369.08388085,10.3602269,59.2656192
50,1,4337985.02160656,4019754.63996391,10.2972847,59.2782334
50,1,4333362.43883101,4052784.51534597,10.218244,59.5755393
50,1,4342855.35599349,4025419.36205148,10.3830888,59.3289838
40,1,4072429.82157276,3983384.49009093,5.6949642,58.8837729
87,1,4395082.81060141,4164073.59443295,11.3470906,60.570893
116,1,4346713.2115494,4075192.95424698,10.4566099,59.7765886
116,1,4377990.27378265,4192372.97280579,11.0443869,60.8282052
116,1,4375078.25083085,4192113.2661365,10.9909585,60.8262445
116,1,4367068.66199914,4087960.63542509,10.8208169,59.8898223
40,1,4074166.25455768,3975599.335776,5.7334202,58.8148374
40,1,4071875.31896734,3988147.29129373,5.6801448,58.9262188
40,1,4073600.67960289,3978868.10270408,5.7201144,58.843871
40,1,4073845.08717116,3989740.54277553,5.7124771,58.9415895
50,1,4300549.35312736,4008080.8585077,9.6431349,59.1730757
116,1,4381056.18392466,4021639.49781244,11.0515916,59.2915144
116,1,4370488.370689,4094012.72086252,10.8831562,59.9439086
62,1,4321914.45544316,4071513.55682255,10.0162232,59.7442246
175,1,4672810.45971643,5190149.42502094,18.9763571,69.6375839
114,1,4173706.03219339,4260351.31344881,7.2503945,61.4182584
50,1,4305163.71594469,3990581.53432355,9.7248938,59.0158489
50,1,4302231.22708681,4001638.80906237,9.6730256,59.1151994
50,1,4302545.43176068,4000927.47533165,9.6785581,59.1088136
50,1,4296255.49724874,3998445.14188787,9.5692769,59.0861854
23,1,4300395.34737569,4001815.50082739,9.6410266,59.1167092
50,1,4301363.22404742,4008352.54932433,9.6573128,59.1755557
50,1,4321584.27680681,4001727.02787437,10.0101791,59.1163805
50,1,4298333.94159205,4008565.52092997,9.6044272,59.1773301
50,1,4299320.83066679,4012886.69169689,9.6212286,59.2162499
50,1,4294524.19729198,4012616.02391104,9.5374578,59.2135599
50,1,4296772.70265474,4013405.14642716,9.5766529,59.2207845
171,1,4629720.27616934,5052202.66997256,17.4639393,68.4438756
171,1,4630641.11341253,5053249.92222853,17.4890566,68.4523956
171,1,4640121.11937104,5051779.75487771,17.7119404,68.4297232
50,1,4321988.50814029,3989320.9094008,10.0171668,59.0047837
96,1,4265134.52923936,4177798.64592627,8.980304,60.6971647
80,1,4353040.36463072,4132088.73539941,10.5776466,60.2881691
116,1,4344601.59819426,4080856.37313933,10.41974,59.8276649
50,1,4324149.31459375,3996603.41526825,10.0547943,59.0702812
50,1,4324199.0334637,3993494.47214741,10.055615,59.0423152
50,1,4322134.88443003,3995234.22856345,10.0197387,59.0579745
52,1,4302224.32748326,4057620.99092585,9.6681195,59.6188307
116,1,4365213.24853761,4069987.63942989,10.7840332,59.7282993
62,1,4327355.4444065,4071800.66472736,10.1127593,59.7467635
50,1,4293301.52160703,4015727.59185005,9.5157091,59.2414772
53,1,4203806.10412201,3898127.69019946,8.0115008,58.1699443
53,1,4204771.18372884,3905431.13868102,8.024289,58.2358312
116,1,4352280.31121958,4091901.17743989,10.5579247,59.9265723
116,1,4380576.77375676,4148590.64480851,11.078825,60.4337876
116,1,4362969.79597144,4046438.64652678,10.7396747,59.5166505
116,1,4367283.40674792,4053066.00658085,10.8171049,59.5758481
