"name","x","y","lon","lat"
"SN5660",4437099.44754285,4129841.15177551,12.0913,60.2537
"SN44300",4069007.20045155,3969857.5445693,5.6508,58.7605
"SN17050",4367480.22102657,4024494.68633505,10.8145,59.3188
"SN25115",4239005.67706882,4194100.27488634,8.4968,60.8397
"SN56420",4054665.59496751,4252899.76879456,5.0443,61.2928
"SN55770",4151596.10627923,4234699.68291617,6.8608,61.1792
"SN71320",4319527.33768736,4497997.62531708,9.9705,63.5858
"SN60810",4159209.93981498,4382910.37463068,6.8717,62.5158
"SN89985",4704012.06296957,5134751.76508505,19.5442,69.1025
"SN11500",4368632.91162976,4178025.97849677,10.8695,60.7002
"SN54710",4219113.89165493,4232163.54306379,8.1125,61.178
"SN69655",4355628.76888691,4495884.44184965,10.6932,63.5652
"SN47498",4092527.31955564,4068941.18788097,5.9538,59.6625
"SN86520",4537860.56283544,5066316.55900424,15.2832,68.648
"SN12180",4386684.55816238,4189688.69121138,11.2028,60.8028
"SN23500",4270328.31780789,4224919.40539859,9.063,61.122
"SN45770",4100843.78743229,4020318.22679543,6.1498,59.23
"SN50500",4056468.03292811,4140985.95495937,5.2265,60.2892
"SN16040",4296697.6225207,4297525.4245138,9.5413,61.7782
"SN45530",4098073.29455515,4000557.93535429,6.1212,59.0512
"SN16271",4293535.61324023,4309770.12853919,9.4798,61.8883
"SN3370",4380472.31038517,4024719.90266597,11.0422,59.3193
"SN49910",4152317.29470675,4166224.28653213,6.9325,60.5637
"SN20280",4335830.68491855,4115555.9230656,10.2662,60.1403
"SN84210",4646656.72685148,5025912.61097867,17.7905,68.1905
"SN27315",4334654.6083803,4031143.20277024,10.2397,59.3808
"SN7420",4401432.95713845,4253677.5561277,11.4992,61.3763
"SN97251",4929261.77784982,5216943.48281338,25.5023,69.4635
"SN91500",4730211.7979599,5189399.45895363,20.4152984,69.5575895
"SN19940",4335624.18464093,4076716.41407496,10.2598,59.7908
"SN3290",4400187.73474792,4032717.19904506,11.3905,59.3882
"SN23550",4262978.96828891,4239329.72203239,8.9228,61.2508
"SN70680",4391287.19876561,4538257.2091985,11.4255,63.9425
"SN17380",4363946.829043,4033259.89371238,10.7543,59.398
"SN9380",4287233.3077939,4355054.09705768,9.352,62.2958
"SN13150",4331018.59326825,4261931.18339322,10.1872,61.4582
"SN26820",4314926.66072347,4073415.76734668,9.8922,59.7613
"SN15270",4234320.63269429,4287268.80863006,8.369,61.6775
"SN90450",4671012.97349706,5191707.57520514,18.9368,69.6537
"SN28750",4287275.15442768,4085467.3424189,9.3995,59.8685
"SN50539",4063035.48372565,4151074.52193702,5.332,60.3837
"SN99460",5102239.41403399,5262081.28279819,30.041,69.4552
"SN80610",4431412.95832668,4851756.91352831,12.486,66.7628
"SN16400",4279689.27738739,4324207.46289475,9.2143,62.0172
"SN31620",4218627.39851552,4083437.68477728,8.1785,59.8397
"SN68173",4341445.9931603,4479150.92254369,10.4072,63.4153
"SN4920",4398649.79102824,4114790.85720728,11.3933,60.1268
"SN87000",4538343.07862656,5074137.38842048,15.3112,68.7183
"SN53530",4171586.61847944,4175732.53758414,7.2755,60.6563
"SN49490",4135642.95322812,4139705.35126049,6.6538,60.3185
"SN38140",4234325.05636978,3916303.48047022,8.5225,58.34
"SN90400",4669949.38544742,5191579.52214719,18.9095,69.6538
"SN60650",4176001.58151274,4356899.15023027,7.2173,62.288
"SN33950",4164335.86101447,4082097.88720022,7.2143,59.8118
"SN41825",4146715.64425623,3896105.44106272,7.0452,58.134
"SN20540",4351954.50752882,4139594.53513826,10.5592,60.3558
"SN18700",4361348.10544988,4093730.69093323,10.72,59.9423
"SN97710",4927700.26855794,5198036.46185335,25.346,69.3003
"SN12550",4365029.0599399,4186104.12431911,10.8055,60.7733
"SN26990",4333163.18655095,4057647.69729167,10.215,59.6193
"SN64510",4228390.29124916,4424609.39060111,8.1862,62.9133
"SN50110",4111617.53609367,4142995.89199136,6.2175,60.3372
"SN82110",4542807.27714862,4914713.49247309,15.1018,67.2763
"SN72710",4418517.49855696,4601729.53329484,12.0177,64.509
"SN30330",4296808.18629258,4014073.64670111,9.5772,59.2268
"SN32061",4276102.65885415,4031524.69151014,9.2118,59.3822
"SN67140",4335965.81465875,4470806.20295211,10.2973,63.3403
"SN69150",4365050.3688444,4487451.57769149,10.8795,63.4882
"SN32240",4265730.00017261,4035577.15741122,9.0287,59.4175
"SN76530",4432679.1471596,4748488.65312463,12.4255,65.8295
