from,to,type,No,voltage,distance
1,72,1,-1,300,9371.81107939159
2,3,1,-1,300,6802.13591810339
3,714,1,-1,300,22584.4568682916
4,179,1,-1,132,11540.9252694328
6,768,1,-1,132,38204.3428785352
7,1078,1,-1,132,1824.56375356116
8,117,1,-1,132,4759.48152258063
8,117,1,-1,132,4759.48152258063
9,38,1,-1,300,5909.79383369054
10,734,1,-1,132,8831.37999058333
71,101,1,-1,420,32487.2885819907
11,1193,1,-1,420,46389.415989151
13,453,1,-1,300,2594.99528114186
14,363,1,-1,420,46974.9040934086
4,5,1,-1,300,8975.68260452985
15,313,1,-1,132,12967.6355070225
16,35,1,-1,132,4260.39317207281
18,69,1,-1,300,4721.37846587827
19,39,1,-1,132,9355.76941420407
19,39,1,-1,132,9355.76941420407
20,117,1,-1,132,3426.69093681586
20,117,1,-1,132,3426.69093681586
20,21,1,-1,132,5970.31060865318
20,21,1,-1,132,5970.31060865318
22,1083,1,-1,132,2328.63054763393
24,151,1,-1,132,13383.6067235006
26,33,1,-1,300,5063.93569440716
27,737,1,-1,420,11707.0318693622
30,29,1,-1,132,2941.91665058399
26,32,1,-1,300,10131.3936108989
33,1280,1,-1,300,1960.74356474491
37,12,1,-1,132,6739.59819846311
37,12,1,-1,132,6739.59819846311
40,108,1,-1,132,11300.0539872677
42,1210,1,-1,132,5698.1396863629
43,1207,1,-1,420,6229.3942923416
44,664,1,-1,132,5911.28764933105
44,664,1,-1,132,5911.28764933105
45,1211,1,-1,132,5957.97416621287
43,46,1,-1,132,1870.40971883239
43,46,1,-1,420,1811.52678789661
48,47,1,-1,132,22662.7848510648
36,49,1,-1,132,1606.78721239216
36,49,1,-1,132,1606.78721239216
49,310,1,-1,132,2026.69977763567
49,310,1,-1,132,2026.69977763567
47,144,1,-1,132,12942.7057460323
50,1044,1,-1,132,520.522335006511
50,1044,1,-1,132,520.522335006511
50,144,1,-1,132,8106.49923317684
51,143,1,-1,132,3060.58603669851
52,143,1,-1,132,1941.77763784511
52,143,1,-1,132,1941.77763784511
53,352,1,-1,132,4114.25301797761
53,54,1,-1,132,1451.79925542769
53,55,1,-1,132,10513.433953991
56,871,1,-1,132,7375.98002462025
56,1281,1,-1,132,6219.28841062185
57,309,1,-1,300,136660.965807416
58,715,1,-1,132,11839.5085769415
59,1026,1,-1,132,496.864484744404
48,62,1,-1,132,6882.96367879148
61,311,1,-1,132,685.556038924698
63,1282,1,-1,132,1672.62353612275
63,1282,1,-1,132,1654.25505010767
66,144,1,-1,420,3905.20637869516
21,324,1,-1,300,15752.4137117125
67,130,1,-1,132,3745.52553565017
67,68,1,-1,132,7748.69462373862
69,1017,1,-1,300,6468.53505928924
71,73,1,-1,420,8819.21149315798
70,290,1,-1,132,10166.7342100651
71,73,1,-1,420,8444.01920213792
71,72,1,-1,300,7988.16218714043
73,1283,1,-1,420,2644.01814600137
71,64,1,-1,420,27556.8994789225
74,256,1,-1,300,39872.5110134481
74,1192,1,-1,300,6952.39920476558
699,157,1,-1,420,136379.77521879
76,83,1,-1,132,3161.80179783696
76,77,1,-1,132,7218.72592524758
78,602,1,-1,132,10450.6590285269
80,1077,1,-1,132,1914.77761829101
80,1077,1,-1,132,1914.77761829101
78,81,1,-1,132,2180.41082100637
78,81,1,-1,132,2180.41082100637
82,83,1,-1,132,6263.0028872441
83,1284,1,-1,132,815.261982072545
83,1284,1,-1,132,816.102280598623
82,84,1,-1,132,10637.5205731001
82,804,1,-1,132,27546.1692200459
85,1197,1,-1,132,15362.3122538373
86,87,1,-1,132,3940.85552551946
87,337,1,-1,132,5732.54391475778
88,1285,1,-1,132,1023.1051312413
89,400,1,-1,132,3126.77277729906
23,1083,1,-1,132,1176.18345500818
90,94,1,-1,132,8303.10589810865
91,93,1,-1,132,1674.66215001599
90,1107,1,-1,132,3943.6559870942
92,1240,1,-1,132,4424.72853186132
89,312,1,-1,132,5963.31781779574
93,402,1,-1,132,650.342451316688
92,94,1,-1,132,2466.36000995642
1071,189,1,-1,420,411.985325566762
32,96,1,-1,132,829.953081733303
97,1098,1,-1,420,24884.4564260078
21,324,1,-1,300,15732.8656302568
99,663,1,-1,132,24101.0899810883
100,666,1,-1,132,3098.90708456044
