"DSO","node","pop_density","x","y","lon","lat"
183,1037,0.261810263755118,4955000,5415000,27.5497474418592,71.1440539284767
183,1037,0.378305366933346,4965000,5415000,27.8131643926976,71.1207921987104
183,1037,0.736363546006263,4975000,5415000,28.0759935590824,71.0971945279889
183,1037,2.14603551051446,4985000,5415000,28.3382287692017,71.0732621164745
183,305,0.244836250320077,4945000,5405000,27.2089135274285,71.0795279758629
183,1037,0.262518570365676,4955000,5405000,27.4718677349133,71.0567119558725
183,1037,3.22707840242663,4965000,5405000,27.7342484374192,71.0335601388152
183,1037,0.940415804669728,4975000,5405000,27.9960494093342,71.010073697573
183,1037,0.312175946669145,4985000,5405000,28.2572645362956,70.9862538160669
183,1037,0.203968200144237,4995000,5405000,28.5178878154913,70.9621016889808
180,1037,14.9947997600802,5015000,5405000,29.0373353785784,70.9128055289584
180,1037,2.44287244478861,5025000,5405000,29.2961482166736,70.8876639367165
181,305,9.42876285976834,4905000,5395000,26.0795987941809,71.0795210314744
183,305,0.389935564547777,4945000,5395000,27.1328003777832,70.9920547721286
183,1037,2.69825725880201,4955000,5395000,27.3947184227995,70.969346340317
183,1037,0.82957318713862,4965000,5395000,27.6560708160285,70.9463034358544
183,1037,0.414906283394552,4975000,5395000,27.9168513912765,70.9229272157398
183,1037,0.208402737380547,4985000,5395000,28.1770540912499,70.899218847928
183,1037,0.215825046713536,4995000,5395000,28.4366729678632,70.8751795110594
180,1037,0.317228475007518,5005000,5395000,28.6957021825024,70.8508103941886
180,1037,2.12012553714554,5015000,5395000,28.9541360062455,70.8261126965143
180,1037,1.17339306486236,5025000,5395000,29.2119688200396,70.8010876271086
180,1024,1.15089184430338,5035000,5395000,29.4691951148345,70.7757364046469
180,1038,0.760082431040801,5045000,5395000,29.7258094916752,70.7500602571379
180,1038,0.512639653833607,5055000,5395000,29.9818066617524,70.7240604216544
180,1038,0.527769420681329,5065000,5395000,30.2371814464121,70.6977381440649
181,420,1.60539752244949,4835000,5385000,24.1526392491809,71.1308762806649
181,420,0.717905898203795,4855000,5385000,24.685343527535,71.0928010798871
181,420,1.01702232688081,4865000,5385000,24.9509626373936,71.0732471054187
181,305,12.043246905009,4895000,5385000,25.7448024004748,71.01253194369
181,305,12.1626898447673,4905000,5385000,26.0083866552474,70.9916126264623
182,305,4.11875453726812,4925000,5385000,26.5339710848963,70.9487590011918
183,305,0.319928031734058,4935000,5385000,26.7959580961489,70.9268268714579
183,305,0.477298204456606,4945000,5385000,27.0573997037617,70.9045593359217
183,305,1.25996158453749,4955000,5385000,27.3182895884179,70.8819575134296
183,1037,0.412171131988734,4965000,5385000,27.5786215366476,70.8590225342299
183,1037,0.643604186229692,4975000,5385000,27.8383894412294,70.8357555397083
183,1037,1.07296384030279,4985000,5385000,28.0975873015491,70.8121576821235
183,1037,0.315728263508889,4995000,5385000,28.3562092239139,70.7882301243417
180,1037,0.274233954551729,5005000,5385000,28.6142494218246,70.7639740395714
180,1037,0.243046443450417,5015000,5385000,28.871702216204,70.7393906110984
180,1024,0.698184737451159,5025000,5385000,29.128562035584,70.7144810320205
180,1024,1.7210532132147,5035000,5385000,29.384823416251,70.689246504983
180,1038,7.85459136305361,5045000,5385000,29.6404810023498,70.6636882419137
180,1344,1.41927260027765,5055000,5385000,29.8955295459479,70.6378074637595
180,1344,0.715075536636832,5065000,5385000,30.1499639070585,70.6116054002225
180,1344,0.75430693704149,5075000,5385000,30.4037790536262,70.5850832894974
180,1023,2.38853595256805,5085000,5385000,30.656970061472,70.5582423780093
181,1347,1.14361461900896,4825000,5375000,23.823680540705,71.0607179727838
181,420,1.55263346855087,4835000,5375000,24.0896452982248,71.042287534832
181,420,0.801511749625206,4845000,5375000,24.3551402493797,71.0235126706156
181,420,4.01108380690927,4855000,5375000,24.6201581338145,71.004394356661
181,420,1.77010898161353,4865000,5375000,24.884691788296,70.9849335833444
181,420,0.747783988714218,4875000,5375000,25.1487341475623,70.965131354644
181,425,1.12003694247632,4885000,5375000,25.4122782451268,70.9449886878896
181,305,9.84724179352864,4895000,5375000,25.6753172140374,70.9245066135112
181,305,9.51903039296468,4905000,5375000,25.9378442875906,70.9036861747862
182,305,4.9746116399765,4915000,5375000,26.1998528000005,70.882528427585
182,305,2.55484112223675,4925000,5375000,26.4613361870239,70.8610344401157
183,305,0.243028520467039,4935000,5375000,26.7222879865406,70.8392052926681
183,305,0.191335532914948,4955000,5375000,27.2425714883613,70.7945458978608
183,305,0.35810214368862,4965000,5375000,27.501890781647,70.7717178691698
183,1200,0.447074567395098,4975000,5375000,27.7606536702444,70.7485591173208
183,1200,0.252974952946403,4985000,5375000,28.0188542098206,70.7250707791401
180,1037,0.276766873841738,4995000,5375000,28.2764865607328,70.7012540019842
180,1037,0.279037928300919,5005000,5375000,28.533544988307,70.6771099434792
180,1037,0.209284785296503,5015000,5375000,28.7900238630754,70.6526397712615
180,1024,0.433732554572701,5025000,5375000,29.0459176609723,70.6278446627174
180,1024,0.365520342968512,5035000,5375000,29.3012209634899,70.6027258047239
180,1344,2.2081177724864,5045000,5375000,29.5559284577939,70.5772843933897
180,1344,1.25741404452282,5055000,5375000,29.8100349367999,70.5515216337957
180,1344,2.49409423656059,5065000,5375000,30.0635352992102,70.5254387397368
180,1344,0.484561664560821,5075000,5375000,30.3164245495133,70.4990369334647
180,1023,0.902740205296233,5085000,5375000,30.5686977979449,70.4723174454302
180,1023,2.16912956329999,5095000,5375000,30.820350260412,70.4452815140277
180,1023,12.1103838062286,5105000,5375000,31.0713772583805,70.4179303853391
