"from","to","type","No","voltage","distance"
99,126,1,256,300,44194.0389801692
42,127,1,264,132,24657.6665498132
53,128,1,267,300,28171.5071421549
3,129,1,269,300,42706.5553614849
3,51,1,270,300,71611.6685598375
3,60,1,271,300,39806.451046925
54,129,1,272,300,66066.7255447032
40,70,1,273,300,138791.0298992
35,106,1,275,300,84005.6637349569
50,71,1,276,420,75515.3426052079
49,50,1,278,420,31304.8276308192
13,76,1,280,300,38560.0533857619
108,130,1,281,300,41903.2664005142
74,87,1,283,300,73128.4717510644
76,130,1,284,300,77627.0164580239
18,56,1,287,420,103819.615590748
78,131,1,288,220,58083.3353180483
12,132,1,289,420,34820.4354231477
104,109,1,290,420,28135.6039180058
74,108,1,293,420,74464.6991603909
1,88,1,296,300,71844.7378791626
108,109,1,298,420,81456.4122738344
97,104,1,299,420,65640.3388510536
28,133,1,301,150,35121.7437549238
35,37,1,303,300,22396.4741093648
104,109,1,305,300,22873.0547777865
35,107,1,306,300,41961.1384029887
54,65,1,307,300,60373.9785145764
29,78,1,308,132,41140.8994013404
67,125,1,311,132,43431.9814837942
16,67,1,313,132,42662.816672883
25,26,1,319,300,50254.6485303404
3,129,1,337,300,38631.9872025358
77,135,1,338,132,38994.2248021825
42,93,1,339,132,82907.1419415874
93,135,1,341,132,41853.2697131675
95,100,1,350,132,23791.583952295
95,100,1,351,132,23795.8991764249
11,136,1,433,132,33684.0402409162
94,138,1,450,132,39978.4700983919
25,140,1,463,132,49528.6880422295
140,141,1,465,132,35136.6414348683
46,137,1,468,132,54057.9415124106
141,142,1,470,132,66888.6067854769
124,147,1,539,132,43643.9220916889
50,148,1,549,132,33769.7107463715
126,143,1,552,132,25416.7938959351
126,143,1,553,132,31006.646242263
108,144,1,694,132,30263.7435378316
128,152,1,777,132,21183.9772893814
151,154,1,822,132,61054.565261356
158,159,1,938,132,36948.8341307076
158,159,1,939,132,40771.9816773622
160,161,1,941,132,31626.525042891
113,143,1,942,132,38216.7699850681
162,163,1,965,132,28220.9833412678
155,165,1,997,132,32110.6885049945
108,145,1,1005,132,19837.5956966951
74,157,1,1012,132,18644.3908023213
82,151,1,1019,132,46939.579180527
108,155,1,1025,132,18953.2766214457
1,169,1,1240,132,32960.9854361477
78,171,1,1363,132,59369.5773394548
73,114,1,1377,132,31412.6496887237
60,173,1,1396,132,26188.0571744468
71,123,1,1489,132,24544.4661205306
71,72,1,1555,132,13688.9463257922
176,177,1,1577,145,17618.8245800481
47,180,1,1602,132,23338.5570193487
104,106,1,1607,145,55837.6702646336
182,183,1,1646,132,38521.8325827786
138,182,1,1649,132,34034.9250644768
142,184,1,1656,132,56543.4887925424
97,177,1,1662,145,38180.9025166323
97,176,1,1669,145,20699.0405270995
19,21,1,1712,132,14891.7784855817
19,21,1,1713,132,14892.1655121041
20,47,1,1719,132,34977.2911654185
20,180,1,1726,132,34034.6097064751
152,164,1,1744,132,39589.6447160713
186,187,1,1764,132,63803.0473410912
113,192,1,1802,132,47078.2992230273
126,143,1,1806,132,20474.5761299737
139,144,1,1814,145,32054.3255733323
19,21,1,1822,132,16316.1037262783
120,179,1,1836,145,21427.6112571473
24,110,1,1893,132,41034.4487780126
111,153,1,1900,132,22553.0443952516
188,189,1,1903,132,26426.75785826
80,189,1,1904,132,25661.2013596868
80,189,1,1905,132,25612.0983138749
166,193,1,1915,132,21317.0775541015
158,194,1,1920,132,35911.8160545426
134,147,1,1930,132,41758.1926180635
188,189,1,1937,132,26488.9430778956
96,195,1,1944,132,31205.8735742015
147,196,1,1963,132,54006.9711182359
113,196,1,1964,132,37685.8837398457
184,186,1,1965,132,54536.9378263172
40,112,1,1972,132,15431.0176064711
177,178,1,1985,145,23130.7247655093
104,177,1,1986,145,31420.1716517564
44,154,1,1988,132,25993.0644719671
100,156,1,1989,132,22338.2820294919
100,156,1,1990,132,22341.9740261112
44,154,1,1993,132,22268.4137005294
44,154,1,1997,132,22605.0125265986
19,21,1,2010,275,26686.4070373522
24,110,1,2015,132,25868.3761046208
24,110,1,2016,132,25851.2033970335
126,158,1,2037,132,31569.624636241
126,158,1,2038,132,31049.8108588366
20,180,1,2045,132,34026.8959929479
93,181,1,2051,132,34597.585718587
166,191,1,2054,132,23016.8235036125
159,160,1,2062,132,49298.2137186143
159,197,1,2066,132,35762.8455348669
194,197,1,2067,132,25405.1604102152
126,194,1,2068,132,27891.2506378552
124,143,1,2070,132,47285.0811000411
138,182,1,2082,132,31739.0718427859
106,185,1,2091,145,44616.0152351833
20,166,1,2107,132,26962.7034250114
104,175,1,2161,145,42859.7810822601
103,119,1,2162,145,9909.01112869342
103,119,1,2163,145,9911.21125697251
18,190,1,2191,132,22797.4755590467
17,193,1,2198,132,23413.2031379902
25,140,1,2223,132,49536.4527496733
180,191,1,2226,132,35261.9979810065
27,167,1,2253,132,36944.4882888901
97,179,1,2288,145,19234.9928104804
114,120,1,2294,145,27726.4269856505
114,120,1,2295,145,27687.0498548975
13,169,1,2354,132,50310.3927806808
27,167,1,2373,132,26045.7315631118
167,170,1,2375,132,24804.545417023
200,201,1,2376,132,9786.41291816037
104,109,1,2381,145,17246.499333083
104,178,1,2386,145,33534.6260510236
176,177,1,2389,145,28510.7415695079
102,202,1,2393,132,34663.5151123035
102,202,1,2394,132,33814.6171378058
102,202,1,2395,132,33768.3679399909
203,204,1,2408,132,48260.3823373933
61,199,1,2414,132,23276.4410283299
206,207,1,2417,132,28812.9121568964
62,207,1,2419,132,32816.0492225227
62,207,1,2420,132,34478.9627596331
62,207,1,2422,132,35481.6302323518
1,13,1,2461,132,61993.2255771339
106,107,1,2543,145,44180.0974607425
106,107,1,2544,145,44234.897116275
104,119,1,2545,145,107921.548351506
104,119,1,2546,145,107942.049119447
40,71,1,2549,132,44733.4989888202
62,204,1,2553,132,50070.1146069562
62,204,1,2554,132,46332.7940877761
172,205,1,2555,132,39470.0663605243
199,205,1,2560,132,36167.3380958185
61,203,1,2564,132,24657.8215881169
208,209,1,2571,132,41159.6574546058
25,208,1,2573,132,42112.390383513
135,210,1,2584,132,35049.0639062463
26,208,1,2591,132,47820.3422788986
27,201,1,2618,132,37115.1617453398
20,21,1,2629,132,29758.4802417565
20,21,1,2636,132,29763.1390657861
90,91,1,2666,132,27429.9846804503
101,211,1,2685,132,37776.2254077853
101,212,1,2686,132,34562.9337810351
101,212,1,2687,132,34449.8734150195
174,213,1,2688,132,37636.1048186957
212,213,1,2689,132,28325.2904868041
130,211,1,2690,132,43544.6505795611
104,174,1,2691,132,37922.9756083752
104,174,1,2692,132,37865.537493234
145,146,1,2694,132,31511.9619756703
27,167,1,2703,132,26058.7623381124
167,170,1,2705,132,24338.5342180926
27,170,1,2706,132,54056.353430158
27,170,1,2707,132,54073.8017135209
27,201,1,2708,132,48595.7273401742
200,201,1,2709,132,13133.966868181
1,13,1,2717,132,61151.3502105259
17,19,1,2724,380,24221.996425852
200,201,1,2732,132,13117.1486513136
27,201,1,2733,132,34078.9246851801
152,163,1,2754,132,40236.5732066155
99,184,1,2759,300,88455.1573481062
99,214,1,2760,300,62414.2928592876
150,162,1,2803,132,19933.0441105
112,195,1,2822,132,37309.7230434198
60,163,1,2933,132,40025.5851148071
51,173,1,2952,132,25521.8810698247
51,60,1,2953,132,46847.1381073965
59,105,1,2960,132,52698.5967327909
90,216,1,2966,132,28149.2083749571
50,59,1,2988,132,38384.9255365272
74,146,1,3001,132,38986.7139042673
17,19,1,3037,145,35785.16379382
51,121,1,3042,132,32027.9419494812
128,217,1,3054,132,39094.7265040645
150,172,1,3081,132,38681.6719135725
8,198,1,3116,132,16563.1967546915
73,105,1,3133,132,24419.4352243865
104,109,1,3163,145,16534.7736100005
104,109,1,3164,145,16509.0147073375
96,195,1,3170,132,31205.0980926827
9,218,1,3193,132,44153.3019648932
121,172,1,3209,132,34045.7194972098
19,21,1,3217,132,20721.9875128692
20,21,1,3221,132,32521.5732065311
20,21,1,3222,132,32512.72810557
71,149,1,3309,132,33098.5559442514
72,148,1,3310,132,27835.8086673159
70,148,1,3312,132,61204.4532073949
112,195,1,3325,132,37270.7089296298
97,176,1,3340,145,20897.9906529671
121,215,1,3343,132,19201.6671679699
19,21,1,3357,132,20708.4941244158
34,219,1,3368,132,30971.2183477887
130,146,1,3371,132,31643.466642701
130,146,1,3372,132,31686.5759209061
101,211,1,3373,132,37762.0921552076
11,12,1,3380,145,43132.5349375042
90,136,1,3402,132,36636.7507070866
168,216,1,3405,132,20501.3810437534
62,122,1,3424,132,35786.8160145721
130,211,1,3428,132,43563.2916243066
27,167,1,3435,132,24975.8366232016
28,220,1,3461,132,40590.3521483302
163,164,1,3490,132,32662.8175640126
104,139,1,3498,145,34430.7645613829
120,185,1,3504,145,22214.9040565805
174,213,1,3516,132,37633.9547272045
212,213,1,3522,132,28324.3435744501
40,71,1,3526,132,44735.5315949253
206,207,1,3560,132,28823.7072617829
27,167,1,3584,132,25006.5311294822
138,181,1,3615,132,25186.5320014003
17,21,2,768,132,17026.6655546887
17,21,2,786,145,16482.9127120423
74,221,2,794,250,139387.095914995
74,221,2,795,250,138724.959908925
74,221,2,804,350,140094.542833215
