Time,NO1_pos,NO1_neg,NO2_pos,NO2_neg,NO3_pos,NO3_neg,NO4_pos,NO4_neg,NO5_pos,NO5_neg
0,0,0,78,0,0,0,0,0,15,0
1,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0
5,0,0,37,2,0,0,0,0,10,0
6,0,0,2,29,0,0,0,0,1,8
7,0,0,0,73,0,0,0,0,0,20
8,0,0,0,78,0,0,0,0,0,21
9,0,0,0,1,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0
13,0,0,37,0,0,0,0,0,14,0
14,0,0,77,0,0,0,0,0,28,0
15,0,0,38,3,0,0,0,0,14,1
16,0,0,19,8,0,0,0,0,7,3
17,0,0,11,28,0,0,0,0,4,10
18,0,0,13,30,0,0,0,0,5,12
19,0,0,1,48,0,0,0,0,0,18
20,0,0,7,42,0,0,0,0,3,16
21,0,0,43,8,0,0,0,0,16,3
22,0,0,38,30,0,0,0,0,14,12
23,0,0,0,58,0,0,0,0,0,22
24,0,0,0,63,0,0,0,0,0,31
25,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0
31,0,0,41,2,0,0,0,0,0,1
32,0,0,5,41,0,0,0,0,0,21
33,0,0,32,37,0,0,0,0,0,19
34,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0
40,0,0,81,0,0,0,0,0,19,0
41,0,0,75,0,0,0,0,0,18,0
42,0,0,12,18,0,0,0,0,3,20
43,0,0,0,47,0,0,0,0,0,50
44,0,0,28,24,0,0,0,0,7,27
45,0,0,51,7,0,0,0,0,12,8
46,0,0,22,20,0,0,0,0,5,22
47,0,0,42,6,0,0,0,0,10,6
48,0,0,74,7,0,0,0,0,0,4
49,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0
55,0,0,0,59,0,0,0,0,0,34
56,0,0,0,56,0,0,0,0,0,28
57,0,0,0,45,0,0,0,0,0,22
58,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0
