Time,NO1_pos,NO1_neg,NO2_pos,NO2_neg,NO3_pos,NO3_neg,NO4_pos,NO4_neg,NO5_pos,NO5_neg
62,0,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0
64,0,0,67,0,0,0,0,0,17,0
65,0,0,46,5,0,0,0,0,12,5
66,0,0,0,49,0,0,0,0,0,55
67,0,0,0,48,0,0,0,0,0,53
68,0,0,0,35,0,0,0,0,0,38
69,0,0,54,3,0,0,0,0,13,3
70,0,0,23,24,0,0,0,0,7,26
71,0,0,0,43,0,0,0,0,0,48
72,0,0,0,46,0,0,0,0,0,47
73,0,0,0,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0,0,0
77,0,0,22,4,0,0,0,0,14,7
78,0,0,62,0,0,0,0,0,41,0
79,0,0,89,0,0,0,0,0,59,0
80,0,0,32,6,0,0,0,0,21,12
81,0,0,0,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0,0,0,0
85,0,0,42,0,0,0,0,0,48,0
86,0,0,33,0,0,0,0,0,39,0
87,0,0,19,7,0,0,0,0,22,18
88,0,0,45,0,0,0,0,0,53,0
89,0,0,50,0,0,0,0,0,59,0
90,0,0,1,25,0,0,0,0,1,62
91,0,0,15,13,0,0,0,0,18,31
92,0,0,8,16,0,0,0,0,10,40
93,0,0,6,11,0,0,0,0,7,28
94,0,0,0,28,0,0,0,0,0,71
95,0,0,0,30,0,0,0,0,0,72
96,0,0,0,27,0,0,0,0,0,29
97,0,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0
101,0,0,26,6,0,0,0,0,17,12
102,0,0,68,3,0,0,0,0,46,5
103,0,0,51,2,0,0,0,0,35,3
104,0,0,21,6,0,0,0,0,14,10
105,0,0,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,0,0,0
107,0,0,0,0,0,0,0,0,0,0
108,0,0,0,0,0,0,0,0,0,0
109,0,0,47,0,0,0,0,0,55,0
110,0,0,1,26,0,0,0,0,1,64
111,0,0,22,9,0,0,0,0,26,22
112,0,0,50,0,0,0,0,0,59,0
113,0,0,50,0,0,0,0,0,60,0
114,0,0,29,8,0,0,0,0,34,20
115,0,0,42,2,0,0,0,0,50,6
116,0,0,45,0,0,0,0,0,52,0
117,0,0,43,1,0,0,0,0,50,2
118,0,0,22,8,0,0,0,0,32,19
119,0,0,0,26,0,0,0,0,0,65
120,0,0,9,26,0,0,0,0,6,29
121,0,0,0,0,0,0,0,0,0,0
122,0,0,0,0,0,0,0,0,0,0
123,0,0,0,0,0,0,0,0,0,0
124,0,0,0,0,0,0,0,0,0,0
125,0,0,45,0,0,0,0,0,32,0
126,0,0,68,0,0,0,0,0,48,0
127,0,0,40,8,0,0,0,0,28,16
128,0,0,70,3,0,0,0,0,46,6
129,0,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0,0,0
131,0,0,0,0,0,0,0,0,0,0
132,0,0,0,0,0,0,0,0,0,0
133,0,0,20,0,0,0,0,0,30,1
134,0,0,22,3,0,0,0,0,33,8
135,0,0,32,0,0,0,0,0,47,0
136,0,0,27,0,0,0,0,0,40,0
137,0,0,2,21,0,0,0,0,3,52
138,0,0,2,16,0,0,0,0,2,39
139,0,0,27,2,0,0,0,0,36,6
140,0,0,34,1,0,0,0,0,46,3
141,0,0,40,0,0,0,0,0,54,0
142,0,0,33,1,0,0,0,0,48,3
143,0,0,7,12,0,0,0,0,11,30
144,0,0,0,50,0,0,0,0,0,54
145,0,0,0,0,0,0,0,0,0,0
146,0,0,0,0,0,0,0,0,0,0
147,0,0,0,0,0,0,0,0,0,0
148,0,0,0,0,0,0,0,0,0,0
149,0,0,0,46,0,0,0,0,0,86
150,0,0,16,32,0,0,0,0,10,61
151,0,0,23,25,0,0,0,0,15,47
152,0,0,19,12,0,0,0,0,13,23
153,0,0,0,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0,0,0,0
155,0,0,0,0,0,0,0,0,0,0
156,0,0,0,0,0,0,0,0,0,0
157,0,0,3,4,0,0,0,0,4,9
158,0,0,4,19,0,0,0,0,5,45
159,0,0,0,22,0,0,0,0,0,55
160,0,0,0,30,0,0,0,0,0,72
161,0,0,0,30,0,0,0,0,0,75
162,0,0,0,20,0,0,0,0,0,73
163,0,0,24,6,0,0,0,0,28,22
164,0,0,10,9,0,0,0,0,13,31
165,0,0,30,4,0,0,0,0,35,11
166,0,0,21,11,0,0,0,0,24,28
167,0,0,9,11,0,0,0,0,11,27
168,0,0,0,44,0,0,0,0,0,48
169,0,0,0,0,0,0,0,0,0,0
170,0,0,0,0,0,0,0,0,0,0
171,0,0,0,0,0,0,0,0,0,0
172,0,0,0,0,0,0,0,0,0,0
173,0,0,0,46,0,0,0,0,0,87
174,0,0,0,50,0,0,0,0,0,94
175,0,0,0,41,0,0,0,0,0,77
176,0,0,0,46,0,0,0,0,0,87
177,0,0,0,0,0,0,0,0,0,1
178,0,0,0,0,0,0,0,0,0,0
179,0,0,0,0,0,0,0,0,0,0
180,0,0,0,0,0,0,0,0,0,0
181,0,0,0,28,0,0,0,0,0,70
182,0,0,1,21,0,0,0,0,1,53
183,0,0,0,18,0,0,0,0,0,66
184,0,0,0,14,0,0,0,0,0,46
185,0,0,15,2,0,0,0,0,18,8
186,0,0,0,25,0,0,0,0,0,71
187,0,0,0,13,0,0,0,0,0,39
188,0,0,22,7,0,0,0,0,26,21
189,0,0,6,15,0,0,0,0,7,45
190,0,0,0,21,0,0,0,0,0,65
191,0,0,0,12,0,0,0,0,0,45
192,0,0,50,6,0,0,0,0,5,3
193,0,0,0,0,0,0,0,0,0,0
194,0,0,0,0,0,0,0,0,0,0
195,0,0,0,0,0,0,0,0,0,0
196,0,0,0,0,0,0,0,0,0,0
197,0,0,0,0,0,0,0,0,0,0
198,0,0,0,0,0,0,0,0,0,0
199,0,0,21,32,0,0,0,0,0,13
200,0,0,2,55,0,0,0,0,0,23
201,0,0,0,60,0,0,0,0,0,24
202,0,0,0,3,0,0,0,0,0,0
203,0,0,0,0,0,0,0,0,0,0
204,0,0,0,0,0,0,0,0,0,0
205,0,0,0,0,0,0,0,0,0,0
206,0,0,0,0,0,0,0,0,0,0
207,0,0,0,0,0,0,0,0,0,0
208,0,0,1,36,0,0,0,0,0,27
209,0,0,0,56,0,0,0,0,0,41
210,0,0,9,36,0,0,0,0,1,27
211,0,0,0,59,0,0,0,0,0,45
212,0,0,0,59,0,0,0,0,0,43
213,0,0,1,15,0,0,0,0,0,11
214,0,0,47,0,0,0,0,0,8,0
215,0,0,46,8,0,0,0,0,6,6
216,0,0,14,28,0,0,0,0,1,14
217,0,0,0,0,0,0,0,0,0,0
218,0,0,0,0,0,0,0,0,0,0
219,0,0,0,0,0,0,0,0,0,0
220,0,0,0,0,0,0,0,0,0,0
221,0,0,0,0,0,0,0,0,0,0
222,0,0,0,0,0,0,0,0,0,0
223,0,0,30,6,0,0,0,0,0,2
224,0,0,10,46,0,0,0,0,0,15
225,0,0,46,16,0,0,0,0,0,5
226,0,0,1,0,0,0,0,0,0,0
227,0,0,0,0,0,0,0,0,0,0
228,0,0,0,0,0,0,0,0,0,0
229,0,0,0,0,0,0,0,0,0,0
230,0,0,0,0,0,0,0,0,0,0
231,0,0,0,0,0,0,0,0,0,0
232,0,0,34,12,0,0,0,0,9,9
233,0,0,1,34,0,0,0,0,0,26
234,0,0,0,51,0,0,0,0,0,38
235,0,0,13,12,0,0,0,0,3,8
236,0,0,39,4,0,0,0,0,10,2
237,0,0,72,1,0,0,0,0,18,1
238,0,0,70,0,0,0,0,0,18,0
239,0,0,16,12,0,0,0,0,4,9
240,0,0,13,43,0,0,0,0,3,36
241,0,0,0,0,0,0,0,0,0,0
242,0,0,0,0,0,0,0,0,0,0
243,0,0,0,0,0,0,0,0,0,0
244,0,0,0,0,0,0,0,0,0,0
245,0,0,0,84,0,0,0,0,0,8
246,0,0,0,91,0,0,0,0,0,9
247,0,0,32,33,0,0,0,0,0,3
248,0,0,26,73,0,0,0,0,0,7
249,0,0,0,1,0,0,0,0,0,0
250,0,0,0,0,0,0,0,0,0,0
251,0,0,0,0,0,0,0,0,0,0
252,0,0,0,0,0,0,0,0,0,0
253,0,0,0,84,0,0,0,0,0,19
254,0,0,0,62,0,0,0,0,0,14
255,0,0,39,29,0,0,0,0,9,6
256,0,0,24,12,0,0,0,0,6,3
257,0,0,32,12,0,0,0,0,7,3
258,0,0,6,45,0,0,0,0,1,10
259,0,0,11,43,0,0,0,0,2,9
260,0,0,6,69,0,0,0,0,1,15
261,0,0,0,67,0,0,0,0,0,15
262,0,0,21,37,0,0,0,0,5,9
263,0,0,16,58,0,0,0,0,3,13
264,0,0,83,0,0,0,0,0,18,0
265,0,0,0,0,0,0,0,0,0,0
266,0,0,0,0,0,0,0,0,0,0
267,0,0,0,0,0,0,0,0,0,0
268,0,0,0,0,0,0,0,0,0,0
269,0,0,77,3,0,0,0,0,11,1
270,0,0,80,8,0,0,0,0,13,2
271,0,0,41,36,0,0,0,0,7,10
272,0,0,25,18,0,0,0,0,4,5
273,0,0,0,1,0,0,0,0,0,0
274,0,0,0,0,0,0,0,0,0,0
275,0,0,0,0,0,0,0,0,0,0
276,0,0,0,0,0,0,0,0,0,0
277,0,0,1,37,0,0,0,0,0,8
278,0,0,0,84,0,0,0,0,0,19
279,0,0,3,28,0,0,0,0,1,6
280,0,0,2,67,0,0,0,0,1,16
281,0,0,57,0,0,0,0,0,13,0
282,0,0,46,16,0,0,0,0,10,5
283,0,0,0,69,0,0,0,0,0,20
284,0,0,27,42,0,0,0,0,6,9
285,0,0,1,54,0,0,0,0,0,12
286,0,0,45,29,0,0,0,0,10,7
287,0,0,10,49,0,0,0,0,2,11
288,0,0,0,58,0,0,0,0,0,48
289,0,0,0,0,0,0,0,0,0,0
290,0,0,0,0,0,0,0,0,0,0
291,0,0,0,0,0,0,0,0,0,0
292,0,0,0,0,0,0,0,0,0,0
293,0,0,0,84,0,0,0,0,0,23
294,0,0,27,53,0,0,0,0,4,15
295,0,0,25,54,0,0,0,0,4,15
296,0,0,9,74,0,0,0,0,2,21
297,0,0,0,1,0,0,0,0,0,0
298,0,0,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0,0,0
300,0,0,0,0,0,0,0,0,0,0
301,0,0,2,21,0,0,0,0,0,5
302,0,0,0,70,0,0,0,0,0,17
303,0,0,9,40,0,0,0,0,2,10
304,0,0,79,0,0,0,0,0,18,0
305,0,0,68,0,0,0,0,0,15,0
306,0,0,0,84,0,0,0,0,0,19
307,0,0,0,64,0,0,0,0,0,15
308,0,0,2,39,0,0,0,0,0,9
309,0,0,0,62,0,0,0,0,0,14
310,0,0,5,49,0,0,0,0,1,13
311,0,0,0,89,0,0,0,0,0,20
312,0,0,4,37,0,0,0,0,1,31
313,0,0,0,0,0,0,0,0,0,0
314,0,0,0,0,0,0,0,0,0,0
315,0,0,0,0,0,0,0,0,0,0
316,0,0,0,0,0,0,0,0,0,0
317,0,0,10,25,0,0,0,0,2,7
318,0,0,12,49,0,0,0,0,2,14
319,0,0,21,42,0,0,0,0,4,12
320,0,0,0,105,0,0,0,0,0,28
321,0,0,0,1,0,0,0,0,0,0
322,0,0,0,0,0,0,0,0,0,0
323,0,0,0,0,0,0,0,0,0,0
324,0,0,0,0,0,0,0,0,0,0
325,0,0,14,19,0,0,0,0,3,4
326,0,0,0,83,0,0,0,0,0,19
327,0,0,2,70,0,0,0,0,0,16
328,0,0,24,31,0,0,0,0,5,7
329,0,0,39,0,0,0,0,0,9,0
330,0,0,0,69,0,0,0,0,0,15
331,0,0,36,29,0,0,0,0,8,7
332,0,0,52,18,0,0,0,0,12,4
333,0,0,50,10,0,0,0,0,11,2
334,0,0,19,52,0,0,0,0,4,12
335,0,0,0,89,0,0,0,0,0,20
336,0,0,28,14,0,0,0,0,6,11
337,0,0,0,0,0,0,0,0,0,0
338,0,0,0,0,0,0,0,0,0,0
339,0,0,0,0,0,0,0,0,0,0
340,0,0,0,0,0,0,0,0,0,0
341,0,0,0,90,0,0,0,0,0,24
342,0,0,38,60,0,0,0,0,6,17
343,0,0,24,28,0,0,0,0,4,8
344,0,0,9,60,0,0,0,0,2,16
345,0,0,0,1,0,0,0,0,0,0
346,0,0,0,0,0,0,0,0,0,0
347,0,0,0,0,0,0,0,0,0,0
348,0,0,0,0,0,0,0,0,0,0
349,0,0,0,87,0,0,0,0,0,19
350,0,0,0,89,0,0,0,0,0,20
351,0,0,4,53,0,0,0,0,1,12
352,0,0,30,31,0,0,0,0,7,7
353,0,0,1,78,0,0,0,0,0,18
354,0,0,0,89,0,0,0,0,0,20
355,0,0,0,90,0,0,0,0,0,20
356,0,0,8,37,0,0,0,0,2,8
357,0,0,54,6,0,0,0,0,12,1
358,0,0,27,44,0,0,0,0,6,10
359,0,0,26,31,0,0,0,0,6,7
360,0,0,13,40,0,0,0,0,9,20
361,0,0,0,0,0,0,0,0,0,0
362,0,0,0,0,0,0,0,0,0,0
363,0,0,0,0,0,0,0,0,0,0
364,0,0,0,0,0,0,0,0,0,0
365,0,0,0,0,0,0,0,0,0,0
366,0,0,0,0,0,0,0,0,0,0
367,0,0,40,7,0,0,0,0,13,3
368,0,0,75,0,0,0,0,0,17,0
369,0,0,74,0,0,0,0,0,17,0
370,0,0,0,0,0,0,0,0,0,0
371,0,0,0,0,0,0,0,0,0,0
372,0,0,0,0,0,0,0,0,0,0
373,0,0,0,0,0,0,0,0,0,0
374,0,0,0,0,0,0,0,0,0,0
375,0,0,0,0,0,0,0,0,0,0
376,0,0,30,0,0,0,0,0,22,0
377,0,0,22,0,0,0,0,0,17,0
378,0,0,4,26,0,0,0,0,3,18
379,0,0,11,23,0,0,0,0,9,16
380,0,0,0,68,0,0,0,0,0,34
381,0,0,22,29,0,0,0,0,8,15
382,0,0,0,60,0,0,0,0,0,25
383,0,0,18,38,0,0,0,0,7,14
384,0,0,10,43,0,0,0,0,3,7
385,0,0,0,0,0,0,0,0,0,0
386,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,0,0,0,0,0
388,0,0,0,0,0,0,0,0,0,0
389,0,0,0,0,0,0,0,0,0,0
390,0,0,0,0,0,0,0,0,0,0
391,0,0,1,65,0,0,0,0,0,12
392,0,0,10,40,0,0,0,0,3,11
393,0,0,22,20,0,0,0,0,8,8
394,0,0,0,0,0,0,0,0,0,0
395,0,0,0,0,0,0,0,0,0,0
396,0,0,0,0,0,0,0,0,0,0
397,0,0,0,0,0,0,0,0,0,0
398,0,0,0,0,0,0,0,0,0,0
399,0,0,0,0,0,0,0,0,0,0
400,0,0,41,1,0,0,0,0,15,0
401,0,0,2,72,0,0,0,0,1,23
402,0,0,0,80,0,0,0,0,0,25
403,0,0,0,65,0,0,0,0,0,33
404,0,0,15,41,0,0,0,0,6,21
405,0,0,2,35,0,0,0,0,0,17
406,0,0,59,6,0,0,0,0,23,3
407,0,0,43,15,0,0,0,0,16,9
408,0,0,80,2,0,0,0,0,14,1
409,0,0,0,0,0,0,0,0,0,0
410,0,0,0,0,0,0,0,0,0,0
411,0,0,0,0,0,0,0,0,0,0
412,0,0,0,0,0,0,0,0,0,0
413,0,0,63,11,0,0,0,0,17,6
414,0,0,85,0,0,0,0,0,23,0
415,0,0,70,6,0,0,0,0,19,3
416,0,0,34,14,0,0,0,0,9,8
417,0,0,0,0,0,0,0,0,0,0
418,0,0,0,0,0,0,0,0,0,0
419,0,0,0,0,0,0,0,0,0,0
420,0,0,0,0,0,0,0,0,0,0
421,0,0,54,0,0,0,0,0,41,0
422,0,0,24,17,0,0,0,0,18,14
423,0,0,0,60,0,0,0,0,0,45
424,0,0,9,10,0,0,0,0,7,7
425,0,0,3,38,0,0,0,0,3,28
426,0,0,0,60,0,0,0,0,0,45
427,0,0,0,59,0,0,0,0,0,44
428,0,0,11,29,0,0,0,0,9,22
429,0,0,0,49,0,0,0,0,0,37
430,0,0,6,27,0,0,0,0,5,20
431,0,0,0,51,0,0,0,0,0,38
432,0,0,80,0,0,0,0,0,13,0
433,0,0,0,0,0,0,0,0,0,0
434,0,0,0,0,0,0,0,0,0,0
435,0,0,0,0,0,0,0,0,0,0
436,0,0,0,0,0,0,0,0,0,0
437,0,0,1,53,0,0,0,0,0,30
438,0,0,0,89,0,0,0,0,0,50
439,0,0,0,71,0,0,0,0,0,40
440,0,0,0,76,0,0,0,0,0,42
441,0,0,0,0,0,0,0,0,0,0
442,0,0,0,0,0,0,0,0,0,0
443,0,0,0,0,0,0,0,0,0,0
444,0,0,0,0,0,0,0,0,0,0
445,0,0,0,41,0,0,0,0,0,32
446,0,0,0,49,0,0,0,0,0,37
447,0,0,7,20,0,0,0,0,5,17
448,0,0,34,3,0,0,0,0,26,2
449,0,0,36,1,0,0,0,0,27,1
450,0,0,38,6,0,0,0,0,28,5
451,0,0,3,42,0,0,0,0,2,32
452,0,0,0,59,0,0,0,0,0,44
453,0,0,0,60,0,0,0,0,0,45
454,0,0,0,40,0,0,0,0,0,30
455,0,0,8,36,0,0,0,0,6,26
456,0,0,55,12,0,0,0,0,9,4
457,0,0,0,0,0,0,0,0,0,0
458,0,0,0,0,0,0,0,0,0,0
459,0,0,0,0,0,0,0,0,0,0
460,0,0,0,0,0,0,0,0,0,0
461,0,0,1,52,0,0,0,0,1,29
462,0,0,29,27,0,0,0,0,8,15
463,0,0,109,0,0,0,0,0,30,0
464,0,0,7,8,0,0,0,0,2,4
465,0,0,0,0,0,0,0,0,0,0
466,0,0,0,0,0,0,0,0,0,0
467,0,0,0,0,0,0,0,0,0,0
468,0,0,0,0,0,0,0,0,0,0
469,0,0,32,0,0,0,0,0,24,0
470,0,0,21,3,0,0,0,0,15,3
471,0,0,1,33,0,0,0,0,0,26
472,0,0,13,29,0,0,0,0,10,22
473,0,0,3,50,0,0,0,0,2,38
474,0,0,0,60,0,0,0,0,0,45
475,0,0,0,53,0,0,0,0,0,39
476,0,0,4,36,0,0,0,0,3,27
477,0,0,0,59,0,0,0,0,0,44
478,0,0,0,59,0,0,0,0,0,45
479,0,0,0,58,0,0,0,0,0,44
480,0,0,8,22,0,0,0,0,2,7
481,0,0,0,0,0,0,0,0,0,0
482,0,0,0,0,0,0,0,0,0,0
483,0,0,0,0,0,0,0,0,0,0
484,0,0,0,0,0,0,0,0,0,0
485,0,0,0,86,0,0,0,0,0,47
486,0,0,0,78,0,0,0,0,0,43
487,0,0,10,54,0,0,0,0,3,30
488,0,0,0,88,0,0,0,0,0,48
489,0,0,0,0,0,0,0,0,0,0
490,0,0,0,0,0,0,0,0,0,0
491,0,0,0,0,0,0,0,0,0,0
492,0,0,0,0,0,0,0,0,0,0
493,0,0,0,57,0,0,0,0,0,34
494,0,0,0,48,0,0,0,0,0,28
495,0,0,0,33,0,0,0,0,0,20
496,0,0,19,20,0,0,0,0,14,12
497,0,0,3,45,0,0,0,0,2,33
498,0,0,4,42,0,0,0,0,3,32
499,0,0,0,55,0,0,0,0,0,41
500,0,0,4,33,0,0,0,0,3,25
501,0,0,10,31,0,0,0,0,8,26
502,0,0,0,42,0,0,0,0,0,38
503,0,0,5,34,0,0,0,0,4,31
504,0,0,10,65,0,0,0,0,2,21
505,0,0,0,0,0,0,0,0,0,0
506,0,0,0,0,0,0,0,0,0,0
507,0,0,0,0,0,0,0,0,0,0
508,0,0,0,0,0,0,0,0,0,0
509,0,0,43,21,0,0,0,0,12,12
510,0,0,0,77,0,0,0,0,0,43
511,0,0,35,30,0,0,0,0,10,17
512,0,0,57,10,0,0,0,0,18,6
513,0,0,0,0,0,0,0,0,0,0
514,0,0,0,0,0,0,0,0,0,0
515,0,0,0,0,0,0,0,0,0,0
516,0,0,0,0,0,0,0,0,0,0
517,0,0,0,58,0,0,0,0,0,44
518,0,0,0,58,0,0,0,0,0,44
519,0,0,38,1,0,0,0,0,28,1
520,0,0,13,15,0,0,0,0,9,11
521,0,0,0,60,0,0,0,0,0,44
522,0,0,0,60,0,0,0,0,0,45
523,0,0,0,60,0,0,0,0,0,45
524,0,0,2,36,0,0,0,0,2,27
525,0,0,11,24,0,0,0,0,8,17
526,0,0,30,20,0,0,0,0,23,15
527,0,0,0,60,0,0,0,0,0,45
528,0,0,35,5,0,0,0,0,32,2
529,0,0,0,0,0,0,0,0,0,0
530,0,0,0,0,0,0,0,0,0,0
531,0,0,0,0,0,0,0,0,0,0
532,0,0,0,0,0,0,0,0,0,0
533,0,0,0,0,0,0,0,0,0,0
534,0,0,0,0,0,0,0,0,0,0
535,0,0,0,50,0,0,0,0,0,21
536,0,0,1,64,0,0,0,0,2,20
537,0,0,10,29,0,0,0,0,19,9
538,0,0,0,0,0,0,0,0,0,0
539,0,0,0,0,0,0,0,0,0,0
540,0,0,0,0,0,0,0,0,0,0
541,0,0,0,0,0,0,0,0,0,0
542,0,0,0,0,0,0,0,0,0,0
543,0,0,0,0,0,0,0,0,0,0
544,0,0,49,0,0,0,0,0,44,0
545,0,0,51,0,0,0,0,0,46,0
546,0,0,34,11,0,0,0,0,31,12
547,0,0,0,50,0,0,0,0,0,55
548,0,0,10,25,0,0,0,0,9,27
549,0,0,47,3,0,0,0,0,43,3
550,0,0,29,14,0,0,0,0,23,15
551,0,0,0,38,0,0,0,0,0,42
552,0,0,0,83,0,0,0,0,0,25
553,0,0,0,0,0,0,0,0,0,0
554,0,0,0,0,0,0,0,0,0,0
555,0,0,0,0,0,0,0,0,0,0
556,0,0,0,0,0,0,0,0,0,0
557,0,0,0,0,0,0,0,0,0,0
558,0,0,0,0,0,0,0,0,0,0
559,0,0,0,76,0,0,0,0,0,24
560,0,0,0,62,0,0,0,0,0,19
561,0,0,8,29,0,0,0,0,10,9
562,0,0,0,0,0,0,0,0,0,0
563,0,0,0,0,0,0,0,0,0,0
564,0,0,0,0,0,0,0,0,0,0
565,0,0,0,0,0,0,0,0,0,0
566,0,0,0,0,0,0,0,0,0,0
567,0,0,0,0,0,0,0,0,0,0
568,0,0,34,1,0,0,0,0,32,1
569,0,0,17,4,0,0,0,0,15,4
570,0,0,7,20,0,0,0,0,6,22
571,0,0,2,32,0,0,0,0,2,35
572,0,0,21,18,0,0,0,0,19,20
573,0,0,40,1,0,0,0,0,37,1
574,0,0,0,26,0,0,0,0,0,28
575,0,0,8,27,0,0,0,0,7,29
576,0,0,0,40,0,0,0,0,0,64
577,0,0,0,0,0,0,0,0,0,0
578,0,0,0,0,0,0,0,0,0,0
579,0,0,0,0,0,0,0,0,0,0
580,0,0,0,0,0,0,0,0,0,0
581,0,0,9,13,0,0,0,0,24,33
582,0,0,34,6,0,0,0,0,45,14
583,0,0,16,20,0,0,0,0,21,50
584,0,0,7,5,0,0,0,0,9,11
585,0,0,0,0,0,0,0,0,0,0
586,0,0,0,0,0,0,0,0,0,0
587,0,0,0,0,0,0,0,0,0,0
588,0,0,0,0,0,0,0,0,0,0
589,0,0,46,0,0,0,0,0,35,0
590,0,0,18,4,0,0,0,0,13,36
591,0,0,0,0,0,0,0,0,0,81
592,0,0,1,0,0,0,0,0,1,77
593,0,0,3,7,0,0,0,0,2,40
594,0,0,15,2,0,0,0,0,12,10
595,0,0,56,0,0,0,0,0,42,0
596,0,0,45,0,0,0,0,0,34,2
597,0,0,44,0,0,0,0,0,33,0
598,0,0,35,2,0,0,0,0,27,10
599,0,0,0,13,0,0,0,0,0,74
600,0,0,25,5,0,0,0,0,41,9
601,0,0,0,0,0,0,0,0,0,0
602,0,0,0,0,0,0,0,0,0,0
603,0,0,0,0,0,0,0,0,0,0
604,0,0,0,0,0,0,0,0,0,0
605,0,0,20,10,0,0,0,0,27,25
606,0,0,21,20,0,0,0,0,27,51
607,0,0,21,14,0,0,0,0,28,35
608,0,0,10,29,0,0,0,0,14,71
609,0,0,0,0,0,0,0,0,0,0
610,0,0,0,0,0,0,0,0,0,0
611,0,0,0,0,0,0,0,0,0,0
612,0,0,0,0,0,0,0,0,0,0
613,0,0,0,14,0,0,0,0,0,84
614,0,0,0,12,0,0,0,0,0,69
615,0,0,3,7,0,0,0,0,2,55
616,0,0,30,0,0,0,0,0,23,3
617,0,0,55,0,0,0,0,0,41,0
618,0,0,3,11,0,0,0,0,2,66
619,0,0,14,8,0,0,0,0,10,49
620,0,0,9,8,0,0,0,0,7,49
621,0,0,0,12,0,0,0,0,0,73
622,0,0,43,1,0,0,0,0,32,5
623,0,0,45,1,0,0,0,0,34,7
624,0,0,0,35,0,0,0,0,0,57
625,0,0,0,0,0,0,0,0,0,0
626,0,0,0,0,0,0,0,0,0,0
627,0,0,0,0,0,0,0,0,0,0
628,0,0,0,0,0,0,0,0,0,0
