"Time","NO1","NO2","NO3","NO4","NO5","DE.LU","DK1","FI","GB","NL","SE1","SE2","SE3"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,1.73472347597681e-18,-1.0842021724855e-19,2.16840434497101e-19,0,-6.93889390390723e-18,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,1.73472347597681e-18,0,0,-1.11022302462516e-16,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,4.44089209850063e-16,1.38777878078145e-17,5.55111512312578e-17,0,0,0,0,0
8,0,0,0,0,0,188.5,0,2,0,103.75,0,0,0
9,0,0,0,0,0,1264.75,6,5,0,367,0,0,0
10,0,0,0,0,0,2759.5,23,9,0,561,0,0,0
11,0,0,0,0,0,3923.5,35,8,0,658.5,0,0,0
12,0,0,0,0,0,4344.25,41,4,0,665.75,0,0,0
13,0,0,0,0,0,3844.25,36,2,0,552.75,0,0,0
14,0,0,0,0,0,2618.75,18,1,0,345.25,0,0,0
15,0,0,0,0,0,1047.75,3,1.11022302462516e-16,0,129.75,0,0,0
16,0,0,0,0,0,100.25,0,0,0,20,0,0,0
17,0,0,0,0,0,0,-1.38777878078145e-17,2.77555756156289e-17,0,-7.105427357601e-15,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,1.77635683940025e-15,0,1.73472347597681e-18,0,5.55111512312578e-17,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,-1.0842021724855e-19,1.0842021724855e-19,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,-6.7762635780344e-21,-6.7762635780344e-21,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,1.35525271560688e-20,-1.35525271560688e-20,0,-4.33680868994202e-19,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,6.93889390390723e-18,2.16840434497101e-19,2.16840434497101e-19,0,-6.93889390390723e-18,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,5.55111512312578e-17,-3.46944695195361e-18,0,0,-5.55111512312578e-17,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,-5.55111512312578e-17,5.55111512312578e-17,0,0,0,0,0
32,0,0,0,0,0,218,0,2,0,77.75,0,0,0
33,0,0,0,0,0,1512.25,10,5,0,303.25,0,0,0
34,0,0,0,0,0,3155.25,39,9,0,519.25,0,0,0
35,0,0,0,0,0,4392.25,63,8,0,627.25,0,0,0
36,0,0,0,0,0,4778.25,70,5,0,608.75,0,0,0
37,0,0,0,0,0,4262.25,58,2,0,473.25,0,0,0
38,0,0,0,0,0,2841.75,31,1,0,278.5,0,0,0
39,0,0,0,0,0,1125.25,6,0,0,102.5,0,0,0
40,0,0,0,0,0,125.5,0,0,0,17.75,0,0,0
41,0,0,0,0,0,0,0,0,0,-3.5527136788005e-15,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,8.88178419700125e-16,6.93889390390723e-18,0,0,-1.11022302462516e-16,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,-1.11022302462516e-16,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,-2.16840434497101e-19,-2.16840434497101e-19,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,-5.55111512312578e-17,0,0,0
54,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,-2.22044604925031e-16,2.77555756156289e-17,2.77555756156289e-17,0,-1.77635683940025e-15,0,0,0
56,0,0,0,0,0,117.25,0,2,0,73,0,0,0
57,0,0,0,0,0,705.25,10,6,0,287.25,0,0,0
58,0,0,0,0,0,1531,38,9,0,513.5,0,0,0
59,0,0,0,0,0,2143.75,64,9,0,675.5,0,0,0
60,0,0,0,0,0,2293.75,72,5,0,709.25,0,0,0
61,0,0,0,0,0,1953.75,62,3,0,566.75,0,0,0
62,0,0,0,0,0,1258.5,34,1,0,339.75,0,0,0
63,0,0,0,0,0,506,7,0,0,133.25,0,0,0
64,0,0,0,0,0,70,0,0,0,21.75,0,0,0
65,0,0,0,0,0,0,-1.11022302462516e-16,-1.38777878078145e-17,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0
