"V_base","x","y","lon","lat"
300,4074222.40382261,3975750.63339335,5.73422459945667,58.8162256005367
300,4089354.70670103,3939131.63630804,6.03209155106,58.49538187185
300,4480474.77222507,4717824.58428931,13.4262600685775,65.5345849472525
300,4072418.00874077,3983254.40581689,5.6949026758275,58.882598927765
132,4095875.09502371,4274028.71820983,5.78413773369,61.50669769891
132,4103176.8818349,4269604.09978675,5.925653548064,61.470789462982
132,4098424.88969279,4312562.85367042,5.7858566675,61.85442305736
132,4100416.35555242,4313722.23629724,5.82208508909,61.86591245462
132,4120180.24253896,4328238.30781065,6.17974278386,62.00653136505
132,4116853.40373281,4320252.25676431,6.12549716321,61.93307757162
132,4088178.75967644,4278485.40460761,5.63488200256,61.54253747849
132,4065761.10010874,4294411.94597302,5.19418091082,61.6725149139
132,4072316.01358655,4304984.25306273,5.303110726755,61.77146398604
132,4133608.22441825,4279668.95513966,6.48385956477667,61.5760140768033
132,4107733.70474436,4266614.34294759,6.01406258302,61.4462570826567
420,4243624.70566073,4399348.92000597,8.49583745932167,62.6889221262717
132,4225996.92432166,4411394.40239398,8.14667748671667,62.7936631217567
420,4406932.91765948,4437392.93122719,11.68955762896,63.03000099299
420,4425185.80624867,4454139.67891607,12.058626041915,63.176530570165
300,4128633.94794229,3999177.92385874,6.6532868015,59.05275475193
300,4129350.0228955,4000039.31860462,6.6649905221375,59.0607954598975
300,4071873.94234515,3988155.58102075,5.68011185589,58.926292452265
420,4233652.63359606,4164680.37429307,8.4115249729775,60.5738786822413
300,4062954.11655687,4084667.0256776,5.41249293124,59.78752360008
300,4065414.05886411,4080123.17004744,5.46154093982,59.74815895736
300,4167931.413117,4244792.30665182,7.15515735487,61.27621361064
300,4165321.40023967,4245835.87265819,7.105858480918,61.284647338996
380,4051875.08706026,4149794.23463632,5.1323492086875,60.3654522429906
132,4128033.7198685,4274037.93478026,6.38520578791,61.52283932619
132,4131678.04236253,4276594.92038609,6.450792722135,61.5474987397825
275,4082819.33715045,4146338.90483989,5.69458316572,60.35244607538
420,4091192.89494096,4150863.06969774,5.840519985099,60.39758068667
380,4062769.50642753,4140365.0185141,5.340657503281,60.287397737981
275,4079867.43756627,4146805.19960846,5.64080958557,60.3550102197
275,4091054.76272748,4171430.92960068,5.81476492918846,60.5822640098554
275,4086458.65998847,4169523.67482098,5.73352449915333,60.5626639329733
275,4085034.60494643,4169465.22579885,5.70775132806,60.5613646533733
275,4075131.78088892,4156089.56706852,5.54426792198,60.43573586826
275,4074844.10286386,4154319.79233652,5.54120158636,60.41968062559
275,4070011.90128447,4151847.72485508,5.45694388088875,60.3947213322287
275,4107811.41263243,4178742.04438923,6.111380375025,60.656548304345
275,4095998.50928052,4169683.99660675,5.90648810411,60.56917084251
300,4092854.35762262,4165639.82452438,5.85397252187,60.53119421929
300,4094171.28810538,4156823.16955342,5.88768787768,60.45268347917
300,4093921.18420773,4152947.34236874,5.8874758515,60.41773607234
300,4071290.45591314,4096744.11451579,5.54611745049,59.90071280011
300,4078129.52840066,4096971.01038272,5.66753510391,59.90655761852
300,4081870.49121963,4093418.80312987,5.73811627671,59.87669914951
300,4083323.91339503,4091728.75268311,5.76585127043667,59.8623057701667
300,4053890.62119549,4032872.53339299,5.31562329334333,59.3173693191633
300,4055410.60713613,4039754.48223147,5.33389031598,59.38002308185
420,4173279.76641801,4420469.99704973,7.111426627575,62.8593879929
132,4308706.42610726,4460164.69541939,9.75657416811,63.24443903558
132,4271306.46418952,4434415.46390189,9.02370476366,63.0093641577
132,4146077.0986896,4369704.60560638,6.63123922403667,62.3914814460033
420,4158631.72536213,4378364.14548995,6.86473070486308,62.4746458008115
420,4244983.88468033,4396528.47325286,8.52348693216,62.6637677270257
132,4258048.06436435,4430600.049102,8.76469203854,62.97309137326
150,5092483.91222225,5290140.74353166,30.0332600031233,69.7223361477933
132,5048568.43235725,5310286.10463462,29.11545797207,70.00850338593
300,4069185.65081893,4095145.3357077,5.51057482421,59.8851670070933
300,4125489.8238352,4046247.30727334,6.55705435357333,59.47427532361
300,4064421.08613077,4027855.8101793,5.50563736426,59.278458876005
300,4129104.09431373,4118213.05788627,6.55584497866,60.1225141736
300,4133289.45576647,4118738.30370681,6.63037734176,60.129043697235
300,4142054.36252826,4084117.5555218,6.81690300065,59.82152772748
300,4145682.76513953,4085107.06443604,6.88054692582,59.83187024705
300,4141116.39507772,4065103.36374263,6.81620898262667,59.6502644782567
300,4150685.06133075,4065571.95602116,6.98498842994,59.65823183405
300,4126074.26605771,4031570.57511258,6.580394208,59.34266964527
300,4130803.56198728,4046828.45842234,6.64998328133,59.48178085396
420,4132060.52118574,4047081.02900167,6.67187150223667,59.48458141412
300,4127280.7085946,4029816.03907341,6.60307136682,59.3274267387267
420,4153806.97105216,4025178.64049606,7.07117315578,59.29636760531
420,4131334.79495238,4052029.04823499,6.65479289429,59.5287343111633
300,4209309.2137625,4040128.05996407,8.03522555535667,59.4479503654
300,4206648.81293667,4043269.46802941,7.98680436091333,59.4755301130667
300,4203869.79388288,4041981.99907335,7.93859692769,59.46323599732
300,4192918.98708565,4076886.7402337,7.72529029173,59.77410905198
300,4199414.45504505,4059764.19898284,7.85027116547,59.621953631895
300,4177122.25473358,4072975.8999986,7.4475984077225,59.7341125936775
300,4118322.41138514,4068212.07805037,6.410491062454,59.66842197397
420,4384344.94112447,4101079.66914728,11.132523795458,60.005724406956
300,4373277.67208218,4092525.32309924,10.93255976105,59.9302041276425
132,4591870.88773807,5068927.70850421,16.598034919955,68.62942095272
132,4587240.56198477,5077989.04974727,16.5090728569667,68.7150906745967
420,4633939.35667611,5067502.58869164,17.6102285632838,68.57736147534
132,4639542.26929019,5055414.32708149,17.70892933081,68.46299619992
