"V_base","X_base","P_base"
132,5.79648662036074,3005.95880594228
145,4.45661089049948,4717.71050167756
150,5.3742226530337,4186.65199650762
220,17.6877851039964,2736.35165259128
250,33.2426480833107,1880.11496085891
275,4.94414609172953,15295.8667881
300,14.5447154439076,6187.81442284585
350,38.110949921753,3214.29930903085
380,3.13254770816375,46096.6642658556
420,18.5255935010352,9521.96214335279
