from,to,type,No,voltage,distance
5,6,1,-1,132,34378.7624247015
9,45,1,-1,300,41064.6486222644
39,124,1,-1,300,52623.5206391504
113,124,1,-1,300,71879.1424211405
22,47,1,-1,275,43357.640261508
20,22,1,-1,275,33011.3140246091
4,125,1,-1,132,37698.5918968764
105,114,1,-1,300,56049.2594170502
73,114,1,-1,420,51200.7670321619
40,123,1,-1,300,53285.3274366779
123,126,1,-1,300,62310.1399461803
99,126,1,-1,300,44194.0389801692
42,127,1,-1,132,24657.6665498132
53,128,1,-1,300,28171.5071421549
3,129,1,-1,300,42706.5553614849
3,51,1,-1,300,71611.6685598375
3,60,1,-1,300,39806.451046925
54,129,1,-1,300,66066.7255447032
40,70,1,-1,300,138791.0298992
35,106,1,-1,300,84005.6637349569
50,71,1,-1,420,75515.3426052079
49,50,1,-1,420,31304.8276308192
13,76,1,-1,300,38560.0533857619
108,130,1,-1,300,41903.2664005142
74,87,1,-1,300,73128.4717510644
76,130,1,-1,300,77627.0164580239
18,56,1,-1,420,103819.615590748
78,131,1,-1,220,58083.3353180483
12,132,1,-1,420,34820.4354231477
104,109,1,-1,420,28135.6039180058
74,108,1,-1,420,74464.6991603909
1,88,1,-1,300,71844.7378791626
108,109,1,-1,420,81456.4122738344
97,104,1,-1,420,65640.3388510536
28,133,1,-1,150,35121.7437549238
35,37,1,-1,300,22396.4741093648
104,109,1,-1,300,22873.0547777865
35,107,1,-1,300,41961.1384029887
54,65,1,-1,300,60373.9785145764
29,78,1,-1,132,41140.8994013404
67,125,1,-1,132,43431.9814837942
16,67,1,-1,132,42662.816672883
25,26,1,-1,300,50254.6485303404
3,129,1,-1,300,38631.9872025358
77,135,1,-1,132,38994.2248021825
42,93,1,-1,132,82907.1419415874
93,135,1,-1,132,41853.2697131675
95,100,1,-1,132,23791.583952295
95,100,1,-1,132,23795.8991764249
11,136,1,-1,132,33684.0402409162
94,138,1,-1,132,39978.4700983919
25,140,1,-1,132,49528.6880422295
140,141,1,-1,132,35136.6414348683
46,137,1,-1,132,54057.9415124106
141,142,1,-1,132,66888.6067854769
124,147,1,-1,132,43643.9220916889
50,148,1,-1,132,33769.7107463715
126,143,1,-1,132,25416.7938959351
126,143,1,-1,132,31006.646242263
108,144,1,-1,132,30263.7435378316
128,152,1,-1,132,21183.9772893814
151,154,1,-1,132,61054.565261356
158,159,1,-1,132,36948.8341307076
158,159,1,-1,132,40771.9816773622
160,161,1,-1,132,31626.525042891
113,143,1,-1,132,38216.7699850681
162,163,1,-1,132,28220.9833412678
155,165,1,-1,132,32110.6885049945
108,145,1,-1,132,19837.5956966951
74,157,1,-1,132,18644.3908023213
82,151,1,-1,132,46939.579180527
108,155,1,-1,132,18953.2766214457
1,169,1,-1,132,32960.9854361477
78,171,1,-1,132,59369.5773394548
73,114,1,-1,132,31412.6496887237
60,173,1,-1,132,26188.0571744468
71,123,1,-1,132,24544.4661205306
71,72,1,-1,132,13688.9463257922
