"DSO","cluster","x","y","lon","lat"
41,33,4074631.34120421,3976681.23591881,5.74026992457267,58.8247971847913
12,34,4089354.70670103,3939131.63630804,6.03209155106,58.49538187185
158,105,4480474.77222507,4717824.58428931,13.4262600685775,65.5345849472525
41,33,4073190.8102997,3983262.4276648,5.70824665776167,58.8830899732083
113,184,4092026.92735007,4276257.06140872,5.709509868125,61.5246175887
113,184,4104517.91747996,4268497.33117085,5.95193049122111,61.4615289026144
122,60,4099088.711646,4312949.31454603,5.79793280803,61.8582528564467
122,61,4118516.82313589,4324245.28228748,6.152619973535,61.969804468335
122,62,4069912.62673753,4289926.83242824,5.27807796949833,61.6347370263483
122,62,4072316.01358655,4304984.25306273,5.303110726755,61.77146398604
113,185,4131511.58693799,4277051.37961376,6.44724012874333,61.5515239824356
41,33,4071833.12070378,3990034.58813194,5.67732992890125,58.9431327101313
128,63,4244662.58980058,4397825.60246406,8.51667293233667,62.6753934802673
140,64,4225996.92432166,4411394.40239398,8.14667748671667,62.7936631217567
148,65,4409351.17116772,4436235.37544025,11.7364450983483,63.0190230578117
148,66,4425185.80624867,4454139.67891607,12.058626041915,63.176530570165
41,35,4128626.01511847,3999787.9977872,6.65262697286462,59.0582310038669
97,186,4233633.41714555,4164764.7560328,8.41113908871889,60.5746341398711
72,36,4064959.27578089,4080275.76629432,5.45327686485833,59.7492638453033
112,187,4165756.40238589,4245661.94499046,7.11407495991,61.2832417176033
113,188,4052068.71929298,4150267.50046149,5.13522325327773,60.3698193328527
113,189,4081343.38735836,4146572.05222417,5.667696375645,60.35372814754
113,189,4090884.75768945,4150431.98657554,5.83544146598063,60.3935452522669
113,190,4063108.05497778,4139724.991981,5.34754474473067,60.2818512077567
113,189,4091848.0970155,4170544.10159242,5.83016854890647,60.5747154265718
113,189,4085075.41685711,4168881.28541978,5.70918495750714,60.5561387800886
113,189,4073652.03955222,4153765.39867699,5.52035548276704,60.4140149550304
99,191,4107811.41263243,4178742.04438923,6.111380375025,60.656548304345
113,189,4093834.84705289,4155495.51860574,5.88308338157286,60.4405803180571
72,36,4068871.69614933,4096596.32535004,5.50324795267,59.8980050809883
113,192,4081424.53991795,4093709.4121535,5.72983665322143,59.8790615495086
72,37,4054498.61557175,4035625.31292838,5.322930102398,59.342430824238
140,67,4174533.19170528,4420619.76426372,7.13578867186231,62.8611924625723
143,68,4310733.56785973,4460339.09258225,9.79670297882222,63.2460690138889
131,69,4271306.46418952,4434415.46390189,9.02370476366,63.0093641577
121,70,4146383.82391303,4369176.81400856,6.63765639405167,62.3868637379367
130,71,4158631.72536213,4378364.14548995,6.86473070486308,62.4746458008115
131,72,4258048.06436435,4430600.049102,8.76469203854,62.97309137326
180,106,5094418.30240777,5286721.0997322,30.0523192379957,69.6878222653329
180,107,5048568.43235725,5310286.10463462,29.11545797207,70.00850338593
72,38,4129632.89080392,4049308.92032627,6.62721788700769,59.5035631280469
40,193,4064421.08613077,4027855.8101793,5.50563736426,59.278458876005
78,39,4131894.33528222,4118563.22176663,6.60553322072667,60.1268671893567
78,40,4142961.46318108,4084364.93275036,6.8328139819425,59.8241133573725
72,40,4144943.86157893,4065290.80065404,6.883720761552,59.653451420574
41,38,4126798.13157984,4030517.85348908,6.594000503292,59.333523901344
54,41,4154923.33610986,4025500.60325082,7.090467048225,59.29967199226
68,42,4207391.9819972,4041739.22615054,8.00066952521428,59.46195391896
71,43,4192918.98708565,4076886.7402337,7.72529029173,59.77410905198
68,43,4199414.45504505,4059764.19898284,7.85027116547,59.621953631895
68,43,4177122.25473358,4072975.8999986,7.4475984077225,59.7341125936775
72,40,4118322.41138514,4068212.07805037,6.410491062454,59.66842197397
117,1,4382838.36970431,4101584.81771383,11.10573186385,60.0104770966543
117,2,4369470.53064269,4090315.91533268,10.8641673057436,59.910749939655
172,108,4591870.88773807,5068927.70850421,16.598034919955,68.62942095272
172,109,4584422.30636501,5077901.1714303,16.440375619715,68.7166824031433
172,110,4633939.35667611,5067502.58869164,17.6102285632838,68.57736147534
172,111,4641741.61869793,5051536.36410266,17.7499914924645,68.4258870792
176,112,4689619.71686546,5143224.09280129,19.2215796966637,69.1962233051675
176,113,4673994.67762049,5156900.15107758,18.8844370863929,69.3375833629714
140,73,4249423.23075028,4367026.77647665,8.621725857075,62.398770442195
118,74,4272484.64404091,4309221.20693434,9.08125629494,61.8814201284075
103,194,4104128.81236005,4205509.2350274,6.01521440166833,60.8952356063533
112,195,4136727.96682366,4221748.44236273,6.59796998265375,61.0565370591875
97,186,4242412.38454643,4149333.1758345,8.5767193806725,60.4374480997725
82,196,4264337.91298904,4128823.61792336,8.97938920181454,60.2562795923664
158,114,4493600.50699511,4775704.39676139,13.7815238717287,66.0506157341087
158,115,4532627.47610719,4746268.22226591,14.587727621855,65.763962947525
149,75,4474220.21585959,4656792.87758315,13.226006395035,64.98681047773
149,76,4457119.39074844,4624685.66730367,12.8365484501925,64.7039635113175
54,44,4112834.79438778,3915529.82231997,6.454575205625,58.29459165034
90,197,4174120.59020909,4171591.36639449,7.324683981435,60.619923472685
97,186,4224134.43728911,4169628.06938414,8.23611590131333,60.61636830783
102,197,4188044.08086818,4189819.36369851,7.565983255415,60.78841261609
115,198,4173823.39980014,4261536.9910089,7.251664110012,61.42896784493
77,3,4288442.39505257,4106857.24651745,9.41698059713,60.06106348547
158,116,4470823.27103315,4752303.52631308,13.2570657388177,65.84986029986
150,77,4462631.08733082,4669994.22317588,12.99530588935,65.11054159295
162,117,4494994.57438293,4850846.6498875,13.91368439087,66.728056449555
163,118,4565195.28934113,4923056.19297755,15.6316120918513,67.335823066456
128,73,4241849.32424273,4379343.08377534,8.470405290765,62.508322860085
140,64,4226175.71130562,4399184.13012587,8.15686580708,62.6836940309
125,78,4205238.18241977,4381255.05377146,7.76203859547,62.51671235638
125,78,4194896.40983718,4378474.51363824,7.56425840516,62.48857542001
130,71,4172231.19567651,4384830.97925292,7.12152409248,62.53809798804
149,79,4406991.02257031,4597997.54270783,11.777193580065,64.478155537865
149,80,4400644.22773243,4547938.120515,11.62011857948,64.027978868735
102,197,4175000.90834371,4196635.18067542,7.32239168656667,60.84548248087
112,187,4160327.81012628,4236126.45836117,7.02122591446,61.1954360439557
112,195,4136120.12330205,4254091.0966182,6.555831860575,61.347104448545
104,199,4217059.17537007,4212890.21146457,8.08473131196,61.00403781272
100,4,4246797.33692643,4190384.17224852,8.64099529202,60.80767174577
97,200,4264689.45149059,4178700.14965941,8.9719279229725,60.70522121328
85,5,4333978.7485709,4118029.19931949,10.2330933943794,60.1626090831833
85,5,4328107.63420509,4124405.42206422,10.1278923167457,60.2201348944957
63,6,4333080.21074258,4085223.0221791,10.2150891289588,59.867420569185
97,200,4269892.89618159,4167685.98629203,9.06971696477714,60.6067314681186
54,45,4197603.7445954,3906561.74059335,7.90192886318317,58.2441539165524
54,45,4214366.64608397,3894298.03095422,8.19234352239375,58.1380390770175
54,35,4153018.38467242,3984590.01973611,7.087898172735,58.931324577945
54,46,4147792.37372435,3967362.49992465,7.01053289224333,58.77458026046
172,119,4628576.73739975,5025391.208927,17.3601012630133,68.2037500700733
172,111,4630351.39987093,5053732.62632023,17.4835111703235,68.4570229684606
180,120,5009398.94462415,5321057.97073854,28.22134353449,70.19761940133
180,121,5021983.26499453,5321573.20391786,28.5412680639875,70.1718242397625
180,122,5004581.75203255,5304481.79323777,27.974388993925,70.064796158985
183,123,4946932.87818602,5328942.61758604,26.6968508325133,70.40945890502
179,124,4867133.48223099,5313029.74135564,24.5426255633475,70.4332729098075
175,125,4835444.82844916,5252064.56156512,23.3729338857625,69.95156863143
177,126,4751617.76578271,5182022.24616925,20.917487539345,69.461596473385
176,127,4732492.14581854,5162644.12028363,20.358723879365,69.315067311705
177,128,4763885.40207167,5202030.53974384,21.3150605391925,69.6223630592175
175,129,4790349.6662503,5217550.91515884,22.0537695650925,69.7201054179675
182,130,4894530.04719397,5270309.93758662,24.9735469072533,70.0029458223933
175,131,4857457.09120412,5230348.80726045,23.80360062963,69.719789311965
54,35,4153344.80082491,3995059.26082241,7.085763608335,59.02552255472
54,35,4142885.11824637,4006601.27123651,6.894991118365,59.12525953801
54,44,4137139.7767113,3912938.6855856,6.869996532374,58.281540392218
54,46,4130680.79819048,3955166.13734793,6.725708999916,58.658246582064
54,46,4137171.8292374,3979319.55776392,6.81780742292,58.8778712008575
149,81,4395647.86999493,4517368.21320126,11.5040815685325,63.75328983073
149,82,4371421.01749221,4483051.77793774,11.005320533466,63.447753894136
148,83,4342610.51000737,4472111.11563428,10.4294808446925,63.3517561992413
