"name","lon","lat"
"SN5660",12.0913,60.2537
"SN44300",5.6508,58.7605
"SN17050",10.8145,59.3188
"SN25115",8.4968,60.8397
"SN56420",5.0443,61.2928
"SN55770",6.8608,61.1792
"SN71320",9.9705,63.5858
"SN60810",6.8717,62.5158
"SN89985",19.5442,69.1025
"SN11500",10.8695,60.7002
"SN54710",8.1125,61.178
"SN69655",10.6932,63.5652
"SN47498",5.9538,59.6625
"SN86520",15.2832,68.648
"SN12180",11.2028,60.8028
"SN23500",9.063,61.122
"SN45770",6.1498,59.23
"SN50500",5.2265,60.2892
"SN16040",9.5413,61.7782
"SN45530",6.1212,59.0512
"SN16271",9.4798,61.8883
"SN3370",11.0422,59.3193
"SN49910",6.9325,60.5637
"SN20280",10.2662,60.1403
"SN84210",17.7905,68.1905
"SN27315",10.2397,59.3808
"SN7420",11.4992,61.3763
"SN97251",25.5023,69.4635
"SN91500",20.4152984,69.5575895
"SN19940",10.2598,59.7908
"SN3290",11.3905,59.3882
"SN23550",8.9228,61.2508
"SN70680",11.4255,63.9425
"SN17380",10.7543,59.398
"SN9380",9.352,62.2958
"SN13150",10.1872,61.4582
"SN26820",9.8922,59.7613
"SN15270",8.369,61.6775
"SN90450",18.9368,69.6537
"SN28750",9.3995,59.8685
"SN50539",5.332,60.3837
"SN99460",30.041,69.4552
"SN80610",12.486,66.7628
"SN16400",9.2143,62.0172
"SN31620",8.1785,59.8397
"SN68173",10.4072,63.4153
"SN4920",11.3933,60.1268
"SN87000",15.3112,68.7183
"SN53530",7.2755,60.6563
"SN49490",6.6538,60.3185
"SN38140",8.5225,58.34
"SN90400",18.9095,69.6538
"SN60650",7.2173,62.288
"SN33950",7.2143,59.8118
"SN41825",7.0452,58.134
"SN20540",10.5592,60.3558
"SN18700",10.72,59.9423
"SN97710",25.346,69.3003
"SN12550",10.8055,60.7733
"SN26990",10.215,59.6193
"SN64510",8.1862,62.9133
"SN50110",6.2175,60.3372
"SN82110",15.1018,67.2763
"SN72710",12.0177,64.509
"SN30330",9.5772,59.2268
"SN32061",9.2118,59.3822
"SN67140",10.2973,63.3403
"SN69150",10.8795,63.4882
"SN32240",9.0287,59.4175
"SN76530",12.4255,65.8295
