NO1 NO2 NO3 NO4 NO5 DE-LU DK1 FI GB NL SE1 SE2 SE3
-26.769503  10.782312   1.737640   1.001526   3.985500   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-26.358584  10.925129   1.712762   1.003467   3.868786   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-26.144801  10.625503   1.425915   1.002308   3.774157   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-24.505126  10.261702   1.251815   0.999764   4.130038   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-21.279080  11.534753   1.675684   0.959146   3.811076   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-23.464209  10.819157   1.655228   0.946800   3.736587   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-20.851707  10.336969   1.635745   0.897736   4.247292   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-20.322270   9.732623   0.953142   0.952355   4.076535   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-25.103244  10.426481   2.343851   0.956613   3.114499   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-22.947210  11.024137   1.214913   0.889613   2.261362   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-24.050485  10.794193   1.915110   0.803269   3.060886   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-23.762976  10.902486   2.045866   0.738126   2.428251   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-23.895941  10.338203   1.858564   0.754628   2.554065   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-27.484123   9.408899   2.292141   0.917554   3.156337   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-26.980435   9.903992   1.947795   0.970371   3.487014   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-23.823233   9.964548   1.878407   0.937023   4.510247   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-25.087648  10.021571   1.906745   1.012051   4.142596   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-25.794913   9.953045   1.789697   0.999405   4.051497   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-25.654698   9.898793   1.872649   1.000004   3.930348   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-25.563187   9.754708   1.905219   0.966703   4.057048   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-25.971634   9.651330   1.951527   0.839228   3.813195   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-25.314282   9.969410   1.812855   0.853097   4.105285   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-25.131780   9.715115   1.874896   0.851610   4.132945   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-24.526911   9.726869   1.895484   0.857230   4.455714   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-24.978616   9.756703   2.133976   0.853049   4.289835   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-25.896678   9.612059   2.490174   0.827888   4.514372   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-28.884956   9.109788   3.028477   0.809053   4.228304   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-22.080303   9.877113   1.919818   0.843961   4.453274   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-22.118433   9.840635   2.250223   0.876425   4.286542   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-21.604758   9.734113   2.198722   0.834772   4.402212   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-24.308761   9.629161   2.578008   0.790382   4.048500   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-26.131383  10.298775   2.744314   0.760243   3.232508   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-24.348043  11.076211   3.331571   0.776333   2.648240   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-24.609332  10.782805   2.717641   0.681248   2.709990   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-27.246705   9.609066   3.915161   0.676828   2.754563   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-26.295285   9.928352   3.277068   0.580031   2.800517   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-23.700353  10.567889   2.167979   0.647799   2.383776   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-26.565658   9.870631   2.933805   0.745270   3.104548   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-26.245942  10.890406   2.179566   0.649242   3.285101   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-29.466238   9.789023   2.124023   0.823795   3.385235   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-27.501512  10.419436   2.006545   0.855876   3.945263   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-27.975405  10.203552   1.793932   0.848788   4.168463   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-29.015462   9.649403   1.400440   0.851235   4.178368   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-28.445114   9.737341   0.681356   0.850568   4.137227   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-29.115175   9.676660   0.295935   0.843534   4.067405   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-29.565149   9.829807   1.007857   0.790622   4.138697   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-30.027063   9.576880   1.273915   0.843358   4.212278   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-29.927908   9.318801   0.669103   0.868936   4.289910   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-24.470689   9.932222   1.009111   0.781369   4.316900   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-24.381367   9.949019   1.691101   0.825697   4.532321   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-24.667161  10.001139   1.789370   0.836466   4.273709   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-24.394063   9.925134   1.813960   0.862055   4.134619   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-22.709696  10.477989   1.752022   0.834530   3.753110   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-22.922276  10.047946   1.651165   0.773543   3.947051   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-20.511619   9.925851   0.801512   0.914696   4.232234   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-21.418137   9.789974   0.391472   0.910008   3.894704   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-24.138988  10.897751   2.814822   0.900923   3.340824   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-23.840076  10.984422   2.573088   0.862124   2.557301   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-25.389471  10.233870   3.778949   0.903520   3.007727   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-24.279164  10.894472   2.276727   0.801319   2.855230   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-29.059690   9.168298   1.776125   0.893552   3.967071   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-25.976379   9.932593   2.224650   0.960674   3.907923   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-26.789469  10.529745   2.041474   0.972412   4.086891   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-22.729852  11.852725   2.278964   0.987193   4.319611   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-22.629899  11.837239   2.530641   1.001375   4.373805   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-22.586371  11.618241   2.551306   0.986615   4.339463   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-22.622166  11.786682   2.536042   1.003476   4.390501   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-22.798692  11.506077   1.885461   0.993622   4.187308   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-22.847177  11.599454   2.190655   1.001498   4.228350   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-25.899892  10.570822   2.094178   0.950149   4.243891   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-24.511083  10.927007   2.437560   0.971463   4.409377   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-25.483873  10.721763   1.970889   1.096654   4.259020   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-27.193781  10.227984   2.012132   0.990147   4.044119   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-28.029787   9.632246   2.010341   0.983490   4.109501   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-28.782721   9.815090   1.474695   0.974571   3.987976   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-32.972741   9.177597   1.483518   0.871675   3.662668   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-32.028486   9.376574   0.690614   0.848716   4.098662   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-21.841362  10.227166   0.562418   0.841649   3.984368   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-25.542469   9.578987   0.712245   0.831102   4.067124   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-25.842992   9.434645   1.050124   0.758880   3.896319   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-24.286259   9.539793  -0.131768   0.757688   3.545243   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-23.101084  11.026098   2.013488   0.865638   1.516308   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-22.971342  10.991692   1.818445   0.841727   3.213605   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
