NO1 NO2 NO3 NO4 NO5 DE-LU DK1 FI GB NL SE1 SE2 SE3
 2826.499850  3636.171065  2571.812982  1671.122209  1669.327169 30615.500000  1230.000000  5203.000000 15922.000000  7636.500000  2521.000000  3272.000000  6643.000000
 2818.592046  3842.130398  2494.047419  1638.266962  1600.009437 29948.750000   966.000000  5196.000000 16090.500000  7362.000000  2252.000000  3229.000000  6632.000000
 2236.338753  4078.037524  2329.554572  1550.387986  1450.136299 29277.750000   854.000000  5193.000000 15918.500000  6777.500000  2196.000000  3186.000000  6640.000000
 2157.670647  4075.201791  2359.812873  1538.589848  1450.675083 29433.750000   694.000000  5229.000000 15597.000000  6772.000000  2319.000000  3287.000000  6555.000000
 2263.525215  3792.503469  2348.715720  1572.986189  1472.647021 31547.750000   572.000000  5338.000000 15784.000000  7035.000000  3355.000000  3733.000000  6532.000000
 2588.183544  3954.428150  2476.321941  1613.216811  1543.033330 35897.250000   635.000000  5856.000000 18355.000000  7515.500000  3877.000000  4084.000000  6573.000000
 2876.803728  4096.291067  2618.913037  1643.520238  1631.328147 40406.750000   574.000000  6000.000000 21715.000000  7877.250000  4400.000000  4619.000000  6650.000000
 3046.023009  4227.165379  2731.146239  1650.866946  1678.218767 40108.250000   239.000000  6003.000000 23138.500000  8138.250000  4389.000000  4617.000000  6872.000000
 3086.371500  4421.880238  2683.593756  1643.867248  1694.966193 39056.000000    85.000000  5917.000000 23345.000000  7779.000000  4390.000000  4596.000000  7007.000000
 3089.666396  4743.397048  2662.098914  1652.490738  1661.153270 37749.750000    -0.000000  5900.000000 22772.000000  7443.500000  4392.000000  4573.000000  7056.000000
 3111.117468  4827.242219  2647.653422  1646.936159  1703.984997 37484.000000    -0.000000  5843.000000 22303.500000  6708.000000  4382.000000  4593.000000  7017.000000
 3091.821907  4853.870355  2646.786074  1618.174407  1669.548696 37851.250000    -0.000000  5853.000000 21811.000000  6380.250000  4381.000000  4611.000000  7075.000000
 3085.135379  4890.132946  2618.059369  1652.210953  1669.259771 37670.250000    -0.000000  5800.000000 21088.500000  6323.250000  4380.000000  4676.000000  7018.000000
 3048.819759  4972.125067  2639.071480  1642.346490  1670.490801 36894.250000    -0.000000  5772.000000 21172.500000  6524.500000  4379.000000  4663.000000  6962.000000
 3007.393903  5002.657943  2639.710905  1617.163066  1670.326041 36756.750000    -0.000000  5836.000000 21079.000000  6655.500000  4403.000000  4724.000000  6953.000000
 3036.270005  4967.298355  2599.760176  1642.796792  1725.527325 36503.000000    11.000000  5860.000000 22195.000000  7543.000000  4418.000000  4792.000000  6920.000000
