"Time","NO1","NO2","NO3","NO4","NO5","DE.LU","DK1","FI","GB","NL","SE1","SE2","SE3"
0,2606,7382,3191,4066,4296,44852,1235,7142,25475,8564,2769,6557,9639
1,2648,6774,3123,4050,4145,43265,1240,7060,24405.5,8168,2747,6550,9576
2,2582,6128,3114,4021,4036,42286,1181,7024,23413,8048,2691,6486,9542
3,2577,5918,3055,4024,3987,41435,1056,7025,22959.5,7795,2693,6477,9512
4,2579,5921,3040,4013,3993,40897,1052,7027,22229,7955,2694,6533,9504
5,2583,6207,3075,4027,4042,42522,1060,7088,21959.5,8366,2695,6671,9519
6,2594,6905,3182,4062,4214,43854,1144,7231,22511.5,9453,2755,6577,9539
7,2617,7387,3226,4127,4592,46211,1276,7335,22666.5,10325,2822,6569,9584
8,2687,7871,3226,4142,4694,48249,1391,7367,23756.5,10686,2819,6641,9596
9,2793,8152,3227,4187,4790,50559,1484,7449,26004.5,10674,2872,6703,9751
10,2843,8447,3237,4252,5240,52774,1507,7507,28360.5,10507,2933,6914,9736
11,2851,8681,3220,4256,5435,54752,1528,7620,30130,10502,3011,6929,9710
12,2860,8741,3152,4302,5529,55311,1702,7656,31404,10238,3054,6975,9795
13,2865,8746,3174,4254,5643,53953,1649,7673,31899,10208,3151,6943,9799
14,2887,8829,3181,4221,5818,51112,1572,7781,32075.5,10400,3268,6914,9798
15,2952,8944,3275,4207,6108,49316,1620,7898,32877.5,10587,3446,6961,9826
16,2940,8992,3366,4192,6256,50433,1811,8093,35680.5,10644,3495,6955,9842
17,2946,8999,3429,4166,6255,54063,2086,8128,37066.5,10848,3489,6941,9845
18,2939,8987,3344,4172,6161,55429,2086,8011,35626.5,10496,3476,6925,9834
19,2905,8839,3405,4153,5973,55553,2079,7830,32993.5,9890,3348,6890,9824
20,2867,8643,3388,4145,5770,53847,1956,7557,30718,8738,3186,6833,9798
21,2871,8614,3406,4129,5680,51917,1835,7481,28708,7897,2919,6817,9751
22,2849,8556,3301,4083,5364,51091,1796,7263,26422,7452,2790,6684,9454
23,2821,8128,3459,4107,4976,49365,1595,7318,23633,7032,2785,6648,9420
24,2762,7641,3291,4035,4663,45353,1450,7081,23292,6229,2610,6451,9474
25,2615,6904,3334,4024,4450,44102,1429,6997,23044,6012,2603,6490,9473
26,2603,6735,3412,4005,4405,43607,1278,6971,22588.5,6075,2594,6440,9460
27,2603,6581,3298,4019,4382,42886,1267,6985,22186,6025,2587,6434,9449
28,2602,6596,3368,4028,4400,42695,1236,7031,21993,6062,2583,6435,9447
29,2732,6905,3275,4024,4452,43048,1251,7236,22320.5,6124,2582,6511,9486
30,2875,7741,3364,4043,4721,44047,1343,7396,23411,6298,2594,6446,9511
31,2887,8097,3478,4108,5108,45867,1508,7590,24375,6910,2653,6439,9573
32,2873,8340,3505,4156,5521,48421,1646,7795,26428.5,7799,2931,6546,9583
33,2860,8639,3507,4213,5738,51623,1854,7934,28956,8404,3229,6692,9735
34,2892,8841,3447,4230,5902,53677,1856,8007,30435.5,8519,3500,6727,9747
35,2903,8886,3450,4220,6014,54447,1858,8093,31496.5,8507,3508,6773,9749
36,2858,8931,3396,4221,5925,54805,1947,8151,32224.5,8487,3509,6789,9865
37,2892,8944,3403,4217,5945,53568,1723,8205,32818.5,8595,3522,6813,9896
38,2864,8985,3359,4213,5912,51021,1721,8373,33286.5,8681,3578,6826,9963
39,2901,9022,3333,4251,6013,48555,1874,8644,34751.5,8694,3647,7036,10051
40,2959,9070,3334,4246,6202,49052,2108,8894,37270,8936,3670,7109,10108
41,2972,9117,3303,4224,6232,52544,2158,8950,39171.5,9261,3697,7123,10135
42,2963,9155,3254,4238,6159,55196,2160,8935,37885,9319,3710,7152,10153
43,2964,8942,3212,4182,6131,55783,2148,8600,35535.5,9157,3666,6960,10097
44,2872,8803,3145,4177,5770,53696,2107,8338,32984,8542,3288,6880,10032
45,2902,8785,2976,4158,5688,51188,1902,8321,30574,8039,2955,6870,9976
46,2858,8562,2958,4129,5526,51143,1770,8107,27598,7619,2863,6824,9677
47,2885,8275,2918,4106,4955,50163,1538,7793,24884,7270,2831,6644,9657
48,2773,7992,2906,4056,4480,47700,1307,7897,23970,6686,2708,6262,9640
49,2751,7055,2852,4026,4311,46153,1297,7802,23341,6304,2749,6267,9651
50,2739,6586,2850,4004,4226,45723,1248,7800,22405.5,6066,2755,6200,9681
51,2751,6590,2727,3991,4109,45047,1169,7817,21990,5752,2805,6244,9704
52,2753,6626,2749,3977,4077,45832,1129,7906,22008,5538,2873,6371,9720
53,2698,6693,2761,3987,4174,47355,1110,8014,22361,5622,2893,6447,9735
54,2739,6814,2772,4014,4295,48798,1204,8176,22953,5868,2932,6810,9755
55,2875,7513,2788,4050,4522,51066,1272,8289,24131.5,6380,2952,6906,9784
56,2802,8060,2908,4065,4690,54542,1347,8361,25144,7008,2992,7084,9796
57,2936,8424,2972,4103,4952,57070,1351,8460,28296,7929,3180,7245,9895
58,2918,8746,2974,4144,5240,59845,1203,8510,30796.5,8582,3259,7491,9880
59,2914,8704,2967,4164,5264,62596,1151,8565,32209.5,8845,3295,7566,9856
60,2922,8598,2969,4184,5113,64172,1140,8558,33119.5,9102,3285,7547,9942
61,2909,8551,2960,4199,5076,62192,1154,8542,33466.5,9062,3284,7540,9940
62,2943,8631,2963,4214,5235,60497,1164,8575,34199,9098,3279,7582,9975
63,2931,8833,2994,4224,5500,60016,1189,8599,35788,9032,3343,7535,10049
64,2981,8946,2997,4210,5885,61096,1213,8629,38732,9261,3657,7580,10130
65,2970,8904,3017,4190,5983,64377,1212,8616,40119,9808,3736,7604,10199
66,2961,8849,3028,4160,5887,66166,1205,8472,38388.5,9969,3652,7639,10262
67,2947,8662,2949,4145,5804,66438,1099,8285,35497.5,9768,3505,7476,10339
68,2900,8467,2992,4144,5772,63959,1048,8113,32828,9191,3205,7256,10377
69,2886,8211,2971,4130,5609,61809,1026,8022,29988,8590,3008,7100,10403
70,2751,7991,2964,4101,5239,60495,1009,7638,27798,8008,2850,6843,10148
71,2642,6987,2953,4039,4553,57932,954,7462,24990.5,7251,2807,6699,10117
72,2527,6398,2789,4006,3751,57588,958,7417,24288,6312,2915,6598,10145
73,2476,5842,2760,3932,3702,56174,985,7373,24263.5,5744,2775,6596,10211
74,2519,5736,2825,3934,3677,55919,982,7437,23794.5,5501,2728,6569,10221
75,2549,5832,2818,3873,3708,56130,1001,7496,23766.5,5359,2678,6532,10229
