"Time","NO1","NO2","NO3","NO4","NO5","DE.LU","DK1","FI","GB","NL","SE1","SE2","SE3"
0,2575,7313,2849,3665,4296,40218.5,890,6929,21055,8316.5,2607,6306,9303
1,2558,6701,2794,3648,4145,39146.5,1020,6853,20144,7895,2573,6296,9259
2,2553,6055,2799,3630,4036,38642,1010,6818,18997.5,7742.75,2509,6217,9248
3,2545,5847,2797,3631,3987,38169,924,6819,18555.5,7454.75,2509,6181,9232
4,2544,5860,2795,3638,3993,37903,935,6813,17691.5,7612.25,2511,6209,9231
5,2547,6154,2833,3663,4042,39725.75,959,6871,17241.5,8029.75,2513,6322,9244
6,2554,6862,2939,3721,4214,41115.75,1049,7014,17868,9121,2569,6213,9263
7,2576,7346,2996,3787,4592,43472,1151,7119,17907.5,10045.25,2634,6210,9314
8,2649,7830,3000,3825,4694,45286.75,1189,7150,18847,10312.25,2632,6298,9332
9,2772,8111,3019,3889,4790,46428.25,1267,7225,20987,10031,2680,6365,9495
10,2822,8407,3017,3959,5240,47185.75,1251,7276,23361,9696.75,2740,6570,9495
11,2834,8634,3025,4007,5435,48046.25,1282,7391,25393.5,9607,2827,6598,9488
12,2844,8695,3030,4052,5529,47996,1497,7432,26755.5,9312.5,2880,6664,9594
13,2853,8699,3033,4059,5643,46809.75,1481,7451,27466.5,9372,2985,6647,9609
14,2872,8777,3031,4057,5818,44982.5,1426,7561,27884.5,9744.75,3112,6626,9605
15,2941,8886,3076,4054,6108,44446.5,1458,7681,28837.5,10094.5,3302,6682,9618
16,2931,8925,3077,4055,6256,45965.75,1638,7877,31482,10186.75,3361,6690,9623
17,2926,8925,3076,4044,6255,49143.75,1926,7912,33194,10330,3364,6687,9623
18,2923,8896,3066,4041,6161,50210,1949,7798,31874.5,9919,3365,6679,9617
19,2888,8747,3063,4022,5973,50231,1958,7619,29741,9315.25,3251,6653,9616
20,2859,8546,3019,4023,5770,48367.75,1858,7347,27797,8175,3098,6607,9597
21,2854,8512,2995,4019,5680,46272.5,1761,7273,25717,7317,2837,6597,9555
22,2841,8443,2906,4002,5364,45390.5,1733,7058,23258,6874,2713,6466,9268
23,2799,8018,2820,4001,4976,43686.25,1541,7111,20597.5,6473.5,2713,6425,9241
24,2735,7535,2675,3942,4663,40488,1359,6875,20220,5773.75,2533,6251,9253
25,2589,6801,2629,3932,4450,39346.5,1331,6792,19954.5,5574.75,2534,6283,9249
26,2587,6642,2595,3931,4405,39109.5,1173,6767,19144,5655.75,2532,6232,9238
27,2588,6489,2618,3940,4382,38653,1166,6781,18851.5,5645.25,2533,6232,9232
28,2587,6509,2633,3956,4400,38733.25,1143,6819,18516.5,5755,2535,6230,9233
29,2670,6812,2680,3956,4452,39362.5,1170,7019,18521.5,5901.25,2536,6305,9272
30,2818,7641,2755,3985,4721,40581.75,1255,7180,19211,6117.5,2547,6240,9301
31,2829,7979,2848,4053,5108,42642.25,1411,7375,20347.5,6734.75,2610,6234,9367
32,2859,8219,2986,4110,5521,45209.5,1544,7579,22764.5,7544,2892,6346,9378
33,2847,8497,3058,4164,5738,47381.75,1746,7711,25222.5,7917.5,3191,6502,9529
34,2878,8693,3105,4185,5902,48201.75,1722,7775,26947.5,7842.75,3461,6547,9543
35,2886,8743,3118,4182,6014,48170.75,1705,7865,28332,7757,3467,6594,9544
36,2846,8811,3121,4186,5925,48425,1789,7927,29132,7768,3464,6603,9654
37,2883,8823,3121,4184,5945,47803.75,1582,7982,29627,8028,3466,6613,9675
38,2848,8857,3120,4184,5912,46663.75,1590,8153,29908.5,8329.75,3512,6602,9722
39,2887,8877,3159,4228,6013,45654.25,1725,8427,31116.5,8520,3569,6782,9773
40,2951,8887,3192,4215,6202,46580.25,1924,8677,33673.5,8840.25,3567,6820,9788
41,2962,8894,3196,4184,6232,49544,1940,8733,35318,9157,3570,6811,9788
42,2945,8885,3195,4176,6159,51726.5,1903,8721,33942.5,9196.5,3570,6812,9790
43,2944,8643,3152,4136,6131,52038.5,1842,8390,31406.5,9044.25,3510,6591,9730
44,2854,8485,3086,4126,5770,49643.75,1791,8132,28820.5,8430.25,3106,6484,9666
45,2844,8426,2929,4104,5688,46791.5,1591,8119,25961,7921.25,2751,6443,9610
46,2839,8158,2921,4074,5526,46323.75,1429,7903,22906.5,7471.25,2642,6376,9308
47,2822,7855,2907,4038,4955,44828.75,1191,7588,20193,7080,2580,6163,9276
48,2712,7540,2880,3987,4480,40226.25,829,7693,19092.5,6534.75,2503,5746,9265
49,2689,6585,2832,3959,4311,37777,771,7603,18475.5,6137.75,2507,5703,9253
50,2679,6086,2811,3935,4226,36373.25,618,7607,17385.5,5880,2468,5600,9251
51,2664,6080,2715,3926,4109,34718.25,461,7618,16593.5,5547.5,2467,5603,9249
52,2659,6104,2708,3917,4077,34403.75,310,7699,16449,5306,2467,5674,9250
53,2674,6165,2743,3924,4174,34554,137,7802,17107,5344.5,2468,5694,9254
54,2716,6289,2761,3946,4295,34368,95,7965,17301.5,5518,2519,6020,9266
55,2764,7000,2777,3984,4522,35154.5,67,8082,18396,5934.25,2517,6094,9304
56,2775,7547,2896,3998,4690,37219.25,25,8148,19555.5,6419,2515,6241,9334
57,2883,7909,2952,4039,4952,38161,-123,8240,22451.5,7023.75,2660,6350,9460
58,2871,8259,2956,4072,5240,39371.5,-442,8286,24938,7288,2721,6555,9472
59,2857,8277,2955,4091,5264,40662,-625,8342,27009,7157,2757,6605,9487
60,2859,8205,2957,4100,5113,41295.75,-673,8339,28331.5,7068,2753,6578,9601
61,2853,8190,2949,4106,5076,38845.5,-768,8326,28355.5,6912.5,2755,6574,9604
62,2877,8315,2951,4119,5235,37143.75,-830,8360,28585,6992.5,2753,6584,9606
63,2854,8542,2962,4113,5500,36734.5,-913,8384,29135.5,6937,2840,6497,9616
64,2897,8674,2981,4085,5885,37595.75,-1055,8415,31700,7135.25,3178,6511,9619
65,2879,8684,2989,4048,5983,40513.75,-1047,8406,32528,7533.5,3259,6510,9621
66,2857,8664,2977,4000,5887,41971.75,-1006,8264,30910,7512.25,3181,6534,9623
67,2845,8502,2930,3968,5804,42003.75,-1048,8078,27417,7182.5,3069,6377,9644
68,2821,8313,2923,3948,5772,39636,-1066,7910,24526.5,6525.25,2811,6183,9634
69,2767,8074,2913,3915,5609,37751.75,-1008,7829,22114,5902.75,2645,6063,9625
70,2662,7870,2896,3868,5239,37166.75,-954,7443,20027.5,5335.25,2528,5859,9348
71,2595,6838,2843,3792,4553,35114,-996,7265,17033,4600.25,2529,5760,9313
72,2414,6246,2743,3755,3751,35402.75,-954,7226,16437,3581.75,2595,5471,9301
73,2431,5682,2697,3666,3702,34236,-862,7184,16329.5,3014,2489,5495,9357
74,2431,5568,2687,3629,3677,34249.25,-817,7249,15888.5,2759.75,2495,5493,9360
75,2433,5682,2691,3589,3708,34703,-769,7308,15705.5,2584.5,2508,5490,9357
76,2436,6058,2710,3579,3784,36175.25,-722,7426,15449.5,2489.25,2574,5530,9364
77,2462,7305,2811,3583,4130,40162.75,-605,7736,15974,2951,2718,5572,9479
78,2744,8230,2858,3660,4812,45697.5,-467,8116,19075,4128,3515,6206,9589
79,2901,8858,2993,3805,5574,51960.25,-268,8558,24577,6140,3923,6581,9959
80,2924,9005,2959,3866,6147,55511,-3,8843,28247.5,7103,3977,6731,9998
81,2926,9131,2963,3888,6278,56303,27,8690,30081.5,7328.75,3979,6755,10013
82,2883,9172,3096,3864,6296,55889.25,67,8852,31211.5,7210,3996,6776,10018
83,2882,9151,3114,3888,6296,55363.25,88,8881,31690,7060.5,3997,6807,10020
84,2879,9051,3113,3883,6281,55216.5,122,8846,31989,6944,3996,6808,10021
85,2874,8980,3120,3852,6288,54761,158,8849,32029,7045,3999,6807,10023
86,2874,8974,3129,3866,6315,53792.75,203,8862,32162.5,7418.5,3998,6807,10021
87,2874,8962,3138,3881,6306,53378.75,223,8897,32654.5,7615.5,4001,6769,10025
88,2872,8925,3148,3861,6357,54287.5,123,8952,33047,7634,4001,6768,10032
89,2871,8923,3166,3840,6439,56443.75,167,8975,34075.5,7515.25,4004,6754,10022
90,2876,8916,3164,3825,6393,56616.75,47,8885,33328.5,7292.25,4004,6510,10010
91,2874,9028,3154,3814,6370,56248.5,24,8671,31008,7071.75,3982,6482,9978
92,2844,8995,3096,3787,6329,53910,-238,8114,27602,6493,3953,6327,9922
93,2840,8767,3060,3760,6140,50939.5,-367,7941,24770.5,5881.25,3777,6233,9780
94,2810,8571,3042,3714,5739,50061,-687,7734,21356,5486.25,3602,6152,9422
95,2683,8377,2995,3669,4887,47307.75,-857,7420,18268.5,4545.5,3215,6002,9355
96,2467,8064,2665,3610,4613,40874.25,-956,7197,18000,3541.5,2761,4944,9383
97,2463,8062,2646,3592,4490,39186,-984,7042,18056,3356.75,2657,4916,9365
98,2460,7935,2632,3585,4278,39014,-981,7042,17870,3129.75,2631,4827,9366
99,2460,7940,2638,3586,4262,39074.75,-883,7040,16981,3162.5,2630,4876,9364
100,2470,8108,2665,3608,4645,40182.25,-817,7135,16624.5,3277.25,2774,4896,9376
101,2550,8066,2761,3650,5213,43263.5,-684,7584,17575.5,3812.5,2858,5095,9428
102,2797,8168,2874,3738,5909,50466.25,-477,8051,20294,5149.25,3805,5451,9582
103,2805,8728,3141,3870,6407,56465.25,45,8571,25212.5,7140.5,3916,5776,9910
104,2817,8798,3208,3934,6481,59647.75,454,8861,30019.5,8290,3991,5860,9981
105,2803,8935,3209,3941,6549,58955,452,8934,31710.5,8650.75,3996,5890,10008
