"Time","NO1","NO2","NO3","NO4","NO5","DE.LU","DK1","FI","GB","NL","SE1","SE2","SE3"
0,4795,4609,2849,1865,2186,40918.5,2522,6929,21055,9039.5,3257,7056,9242
1,4699,4545,2794,1848,2122,39846.5,2652,6853,20144,8618,3223,7046,8642
2,4622,4516,2799,1830,2136,39342,2642,6818,18997.5,8465.75,3159,6967,7963
3,4569,4496,2797,1831,2121,38869,2556,6819,18555.5,8177.75,3159,6931,7770
4,4561,4505,2795,1838,2087,38603,2567,6813,17691.5,8335.25,3161,6959,7820
5,4631,4539,2833,1863,2109,40425.75,2591,6871,17241.5,8752.75,3163,7072,8053
6,4820,4630,2939,1921,2152,41815.75,2681,7014,17868,9844,3219,6963,8636
7,4934,4667,3021,1987,2218,44172,2783,7119,17907.5,10768.25,3284,6960,9329
8,5048,4745,3084,2025,2288,45986.75,2821,7150,18847,11035.25,3282,7048,9685
9,5250,4847,3163,2089,2349,47128.25,2899,7225,20987,10754,3330,7115,9923
10,5391,4923,3228,2159,2412,47885.75,2883,7276,23361,10419.75,3390,7259,10433
11,5506,4982,3271,2207,2387,48746.25,2914,7391,25393.5,10330,3477,7252,10711
12,5574,5040,3287,2252,2422,48696,3129,7432,26755.5,10035.5,3530,7307,10821
13,5608,5032,3284,2279,2428,47509.75,3113,7451,27466.5,10095,3635,7276,10931
14,5671,5031,3287,2313,2411,45682.5,3058,7561,27884.5,10467.75,3719,7257,11154
15,5786,5059,3352,2322,2461,45146.5,3090,7681,28837.5,10817.5,3884,7306,11442
16,5869,5148,3340,2309,2445,46665.75,3270,7877,31482,10909.75,3957,7327,11468
17,5881,5131,3297,2279,2444,49843.75,3558,7912,33194,11053,3979,7366,11468
18,5809,5100,3232,2300,2458,50910,3581,7798,31874.5,10642,3956,7413,11425
19,5747,5049,3170,2290,2399,50931,3590,7619,29741,10038.25,3876,7403,11224
20,5605,4962,3054,2277,2401,49067.75,3490,7347,27797,8898,3748,7357,11060
21,5486,4900,2952,2262,2341,46972.5,3393,7273,25717,8040,3487,7347,11219
22,5293,4812,2869,2239,2267,46090.5,3365,7058,23258,7597,3363,7216,10889
23,5054,4679,2793,2228,2244,44386.25,3173,7111,20597.5,7196.5,3363,7175,10402
24,4865,4495,2625,2142,2263,41188,2991,6875,20220,6496.75,3183,7001,9958
25,4693,4309,2579,2132,2195,40046.5,2963,6792,19954.5,6297.75,3184,7033,9287
26,4590,4414,2545,2131,2189,39809.5,2805,6767,19144,6378.75,3182,6982,9074
27,4523,4386,2568,2140,2175,39353,2798,6781,18851.5,6368.25,3183,6982,9002
28,4531,4301,2583,2156,2134,39433.25,2775,6819,18516.5,6478,3185,6980,9158
29,4582,4249,2630,2156,2139,40062.5,2802,7019,18521.5,6624.25,3186,7055,9631
30,4761,4385,2705,2185,2160,41281.75,2887,7180,19211,6840.5,3197,6990,10570
31,4952,4569,2848,2253,2190,43342.25,3043,7375,20347.5,7457.75,3260,6984,10917
32,5191,4660,2986,2310,2248,45909.5,3176,7579,22764.5,8267,3542,7096,11223
33,5414,4797,3134,2364,2295,48081.75,3378,7711,25222.5,8640.5,3841,7252,11374
34,5625,4895,3235,2385,2323,48901.75,3354,7775,26947.5,8565.75,4111,7297,11388
35,5725,4903,3276,2419,2365,48870.75,3337,7865,28332,8480,4080,7336,11389
36,5693,4914,3324,2399,2325,49125,3421,7927,29132,8491,4101,7300,11499
37,5735,4918,3358,2403,2348,48503.75,3214,7982,29627,8751,4097,7276,11520
38,5705,4949,3358,2411,2313,47363.75,3222,8153,29908.5,9052.75,4135,7264,11567
39,5792,4946,3454,2428,2389,46354.25,3357,8427,31116.5,9243,4219,7387,11618
40,5892,5047,3562,2415,2451,47280.25,3556,8677,33673.5,9563.25,4217,7350,11633
41,5909,5067,3601,2384,2462,50244,3572,8733,35318,9880,4220,7306,11633
42,5827,5037,3664,2376,2475,52426.5,3535,8721,33942.5,9919.5,4220,7243,11635
43,5697,4936,3611,2336,2435,52738.5,3474,8390,31406.5,9767.25,4160,7032,11575
44,5517,4793,3551,2326,2317,50343.75,3423,8132,28820.5,9153.25,3756,6919,11343
45,5341,4656,3521,2304,2322,47491.5,3223,8119,25961,8644.25,3401,6751,11444
46,5142,4510,3471,2274,2290,47023.75,3061,7903,22906.5,8194.25,3292,6726,11084
47,4968,4414,3420,2238,2179,45528.75,2823,7588,20193,7803,3230,6550,10542
48,4840,4573,3332,2187,2193,40875.25,2461,7693,19092.5,7257.75,3153,6194,9637
49,4724,4491,3288,2159,2181,38437,2403,7603,18475.5,6860.75,3157,5947,8877
50,4660,4406,3283,2135,2317,37033.25,2250,7607,17385.5,6603,3118,5828,8294
51,4635,4437,3258,2126,2289,35378.25,2093,7618,16593.5,6270.5,3117,5760,8176
52,4636,4477,3243,2117,2293,35052.75,1942,7699,16449,6029,3117,5839,8130
53,4699,4437,3249,2124,2276,35194,1769,7802,17107,6067.5,3118,5888,8310
54,4853,4476,3288,2146,2372,34987,1540,7965,17301.5,6241,3169,6193,8528
55,4995,4570,3347,2184,2441,35724.5,1454,8082,18396,6657.25,3167,6274,9304
56,5189,4580,3435,2198,2377,37778.25,1657,8148,19555.5,7142,3165,6602,9536
57,5427,4682,3473,2239,2385,38690,1509,8240,22451.5,7746.75,3310,6729,10076
58,5621,4657,3534,2272,2456,39851.5,1190,8286,24938,8011,3371,6877,10523
59,5695,4740,3553,2291,2455,41132,1007,8342,27009,7880,3407,6907,10420
60,5724,4815,3555,2300,2445,41675.75,890,8339,28331.5,7791,3403,6880,10378
61,5756,4844,3550,2306,2424,39165.5,745,8326,28355.5,7635.5,3405,6873,10393
62,5818,4900,3572,2319,2399,37473.75,650,8360,28585,7715.5,3403,6863,10633
63,5911,4966,3612,2313,2364,37013.5,573,8384,29135.5,7660,3490,6747,11033
64,6038,5060,3634,2285,2466,37804.75,558,8415,31700,7858.25,3828,6758,11216
65,6047,5104,3638,2248,2485,40643.75,585,8406,32528,8256.5,3909,6741,11316
66,6011,5116,3607,2200,2479,42101.75,626,8264,30910,8235.25,3831,6804,11190
67,5972,5081,3527,2168,2413,42133.75,584,8078,27417,7905.5,3719,6680,11094
68,5900,5044,3501,2148,2434,39766,528,7910,24526.5,7248.25,3461,6505,10965
69,5806,4986,3453,2115,2348,37881.75,516,7829,22114,6625.75,3295,6423,10808
70,5629,4911,3379,2068,2372,37306.75,565,7443,20027.5,6058.25,3178,6276,10075
71,5457,4797,3282,1992,2296,35254,27,7265,17033,5323.25,3179,6021,9313
72,5135,4593,3322,1955,2200,35532.75,-531,7226,16437,4304.75,3245,5621,8929
73,5035,4431,3308,1866,2148,34311,-588,7184,16329.5,3737,3139,5645,8875
74,5001,4385,3270,1829,2115,34327.25,-542,7249,15888.5,3482.75,3145,5643,8876
75,5031,4419,3249,1789,2118,34816,-451,7308,15705.5,3307.5,3158,5640,8900
76,5093,4486,3214,1779,2123,36305.25,-3,7426,15449.5,3212.25,3224,5726,8818
77,5285,4696,3286,1783,2168,40302.75,714,7736,15974,3674,3368,5813,9479
78,5739,4980,3421,1860,2253,45887.5,1165,8116,19075,4851,4165,6543,10108
79,6208,5316,3626,2005,2437,52259.25,1364,8558,24577,6646,4573,6848,11144
80,6442,5472,3664,2066,2396,55880,1629,8843,28247.5,7609,4627,6926,11507
81,6525,5505,3695,2088,2532,56723,1495,8690,30081.5,7834.75,4629,6923,11642
82,6511,5511,3842,2064,2478,56251.25,1558,8852,31211.5,7716,4646,6930,11760
83,6444,5456,3855,2088,2409,55852.25,1704,8881,31690,7526.5,4647,6966,11719
84,6357,5403,3817,2083,2433,55696.5,1739,8846,31989,7450,4646,7004,11686
85,6314,5383,3816,2052,2449,55260,1790,8849,32029,7523,4649,7011,11660
86,6355,5374,3826,2066,2476,54291.75,1835,8862,32162.5,7753.5,4648,7010,11763
87,6498,5422,3875,2081,2424,53584.75,1855,8897,32654.5,7980.5,4651,6932,11870
88,6618,5405,3889,2061,2481,54455.5,1755,8952,33047,7889,4651,6927,11877
89,6627,5387,3869,2040,2545,56507.75,1799,8975,34075.5,7977.25,4654,6951,11788
90,6544,5379,3886,2025,2563,56979.75,1679,8885,33328.5,7401.25,4654,6688,11855
91,6503,5357,3861,2014,2509,56658.5,1656,8671,31008,7337.75,4632,6675,11823
92,6315,5263,3777,1987,2475,54330,1356,8114,27602,6999,4603,6546,11767
93,6120,5134,3713,1960,2531,51389.5,1044,7941,24770.5,6387.25,4427,6480,11625
94,5930,5004,3653,1914,2525,50541,930,7734,21356,5992.25,4252,6441,10730
95,5797,4865,3577,1869,2365,47757.75,591,7420,18268.5,5051.5,3865,6320,10121
96,5519,4775,3545,1810,2557,41034.25,29,7197,18000,4047.5,3411,5064,10175
97,5358,4678,3506,1792,2445,39376,-36,7042,18056,3862.75,3307,5056,10405
98,5266,4602,3485,1785,2320,39234,-41,7042,17870,3635.75,3281,4974,10335
99,5237,4613,3487,1786,2289,39294.75,105,7040,16981,3668.5,3280,5026,10324
100,5304,4701,3500,1808,2496,40412.25,173,7135,16624.5,3783.25,3424,5046,10537
101,5517,4771,3572,1850,2496,43493.5,353,7584,17575.5,4318.5,3508,5245,10889
