NO1 NO2 NO3 NO4 NO5 DE-LU DK1 FI GB NL SE1 SE2 SE3
-16.797349  12.206397   1.512146   0.838842   3.701610   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-20.964250  10.162971   1.457928   0.744618   3.475524   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-14.066905   7.766158   0.555968   0.573848   1.889436   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-13.899249   8.245565   0.700820   0.610533   1.646138   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-19.856008   7.686770   0.564234   0.606090   2.090953   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-25.400595   9.152551   1.361575   0.564222   3.720013   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-22.492780   8.308080   1.731580   0.947712   3.931364   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-13.900046   8.099525   2.219770   0.989585   4.365788   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-10.303749   9.114202   2.048301   0.997005   4.172758   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-10.687385   7.156783   2.140186   1.002714   2.264785   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-10.875607   7.105319   2.089891   0.998784   2.728133   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-10.784464   7.202671   1.913014   0.934520   2.367943   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-10.797297   7.205375   1.706973   0.999445   2.409476   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-10.559939   7.560585   1.666984   0.990528   2.301525   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-10.418140   7.923196   1.657579   0.973176   2.557382   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-9.842996 10.491667  1.296093  0.997464  3.974253  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-12.573377  10.361371   1.117146   0.971915   4.505543   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-18.612532  10.056838   1.435236   0.972481   2.299486   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-31.802321  15.422346   1.752300   1.006326   3.927176   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-33.015789  13.247646   2.615849   0.996999   3.849652   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-33.276693  14.191325   2.870222   1.012646   3.700356   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-15.813305  13.927738   2.143930   0.972429   3.694887   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-19.202617  12.817996   2.380813   1.112533   3.608677   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-18.067109  11.548623   1.938052   0.915524   3.533974   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-17.836097  10.942120   0.819646   0.846525   3.600240   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-24.350045   9.400378   2.230139   0.693781   3.778862   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-22.113198  11.054674   0.799312   0.694553   3.046420   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-22.714639  10.813716   0.934308   0.602328   2.373417   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-22.251201  11.090332   0.712049   0.636448   1.465385   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-26.827588  10.414776   1.685332   0.828361   3.175881   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-26.592279  10.333033   2.126572   0.920465   3.685220   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-22.554493  12.208938   1.556510   0.995318   4.161901   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-22.469540  12.753709   1.633087   1.028893   4.385726   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-24.972228  13.500874   1.801668   1.047661   4.625010   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-23.824591  14.564776   1.742911   1.050526   4.617133   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-26.973208  13.525500   2.573040   1.054599   4.682189   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-27.134264  13.109076   2.583382   1.010265   4.964548   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-28.901414  12.874668   2.067106   1.002777   4.148054   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-25.223156  12.499963   1.852324   1.008638   4.123875   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-23.092309  11.766724   1.640104   0.955553   4.266715   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-26.344098  10.887469   1.764476   1.023285   3.737731   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-26.762577  10.796364   1.737640   1.007276   3.981034   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-26.358584  10.938098   1.781645   1.012406   3.866193   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-26.123356  10.682906   1.607119   1.014157   3.767825   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-23.684926  10.261702   1.247072   1.006693   4.573010   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-18.904751  12.303285   2.224953   0.965678   3.927388   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-22.236575  11.065035   2.045038   0.957459   3.643579   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-21.891596  10.391701   1.962288   0.887264   3.482980   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-19.944297   9.821218   0.796629   0.782727   4.161277   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-26.187550  10.189217   3.081745   0.783362   3.047259   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-22.656481  10.969889   1.126755   0.901646   2.236440   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-22.872640  11.013869   1.371622   0.880611   2.215902   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-22.950137  10.707156   1.498780   0.873667   2.095776   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-23.657416  10.347573   1.770854   0.748699   2.648790   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-25.681604  10.868792   2.391217   0.830850   3.196588   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-26.781606  10.027700   2.035671   0.987630   3.485947   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-23.698037   9.993710   2.014718   0.955326   4.502923   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-24.813648  10.023228   1.912767   0.970704   4.315085   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-25.774021  10.014974   1.880752   0.949252   3.941118   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-25.656981   9.903133   1.924918   1.117787   3.909051   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-25.656850   9.819235   1.954662   0.974500   3.914852   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-25.686334   9.655539   1.945464   0.859085   4.150262   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-25.412128  10.028575   1.850933   0.894424   4.088679   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-24.565308   9.747215   1.918310   0.858219   4.471727   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-24.543053   9.747038   1.989272   0.868101   4.493564   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-24.427456   9.760859   2.287940   0.860328   4.631235   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-26.429215   9.664230   2.601792   0.837007   4.500091   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-28.909924   9.110112   3.161220   0.816335   4.228304   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-23.057316   9.965162   1.988820   0.772376   3.652731   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-22.820036   9.891499   1.880638   0.863461   3.647246   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-22.570743   9.796739   1.867442   0.924272   3.609149   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-23.739207   9.470657   1.685282   0.906780   3.539027   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-26.673611  10.216021   2.805069   0.767640   3.161731   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-24.885094  11.041673   3.664244   0.763561   2.818123   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-23.945267  11.056899   2.428442   0.586923   2.566941   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-25.736151   9.855241   2.781128   0.550357   2.886985   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-25.891681   9.812196   2.689910   0.556182   2.833258   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-23.830369  10.558075   2.230219   0.601684   2.423377   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-24.859418  10.482517   2.248250   0.684141   3.278199   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-26.560409  10.781866   2.395499   0.692389   3.269206   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-29.433121   9.871323   2.373928   0.831692   3.395503   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-27.827831  10.016090   2.096542   0.857257   4.035794   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-28.769698   9.916892   1.932354   0.845610   4.121586   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-29.013319   9.660924   1.530185   0.853559   4.179610   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-28.976940   9.646960   0.879101   0.849738   4.116211   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
