ID EOM_supply EOM_demand EOM_cost EOM_utility EOM_price redispatch_supply_up redispatch_supply_down redispatch_demand_up redispatch_demand_down redispatch_cost redispatch_utility redispatch_price redispatch_reimbursement imbalance_supply_up imbalance_supply_down imbalance_demand_up imbalance_demand_down balancing_supply_up balancing_supply_down balancing_demand_up balancing_demand_down balancing_cost balancing_utility balancing_price balancing_reimbursement BESS_supply BESS_demand
     0.000000    906.366635      0.000000      0.000000      0.000000 -25284.098087      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000
     2.000000   1971.325070      0.000000      0.000000      0.000000 -55730.101185      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000     -0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000
     3.000000   1835.336340      0.000000     -0.000000      0.000000 -53047.976310      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000
      4.000000    2685.879342       0.000000      -0.000000       0.000000 -152445.395938       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
     5.000000   1186.032809      0.000000     -0.000000      0.000000 -34658.012567      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000
     6.000000   3424.058800      0.000000      0.000000      0.000000 -72203.707000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000     -0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000
     8.000000   1192.322448      0.000000      0.000000      0.000000 -25342.577930      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000
      9.000000    3659.078220       0.000000      -0.000000       0.000000 -103063.420320       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000      -0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
     10.000000    4880.370000       0.000000       0.000000       0.000000 -274217.445000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
     12.000000    4048.451748       0.000000      -0.000000       0.000000 -228521.832561       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
    13.000000   1596.083625      0.000000      0.000000      0.000000 -89253.067687      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000
     14.000000    4541.923210       0.000000      -0.000000       0.000000 -256308.426715       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
    15.000000   1978.506252      0.000000     -0.000000      0.000000 -41727.005861      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000
    17.000000   1081.306560      0.000000     -0.000000      0.000000 -30591.210600      0.000000    252.676052      0.000000      0.000000 126338.025759      0.000000      0.000000  -6245.650407      0.000000      0.000000      0.000000      0.000000      0.328678      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000   -164.339241      0.000000      0.000000
    18.000000    846.148140      0.000000     -0.000000      0.000000 -18054.809970      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000
     19.000000    3646.428840       0.000000      -0.000000       0.000000 -205993.602630       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
     20.000000    4004.982853       0.000000      -0.000000       0.000000 -111174.141821       0.000000    1172.170801       0.000000       0.000000  586085.400544       0.000000       0.000000  -28950.808839       0.000000       0.000000       0.000000       0.000000       1.337141       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    -668.570453       0.000000       0.000000
    21.000000   1613.466145      0.000000     -0.000000      0.000000 -92150.064691      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000
     22.000000    3214.371679       0.000000      -0.000000       0.000000 -181770.249553       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
    25.000000   1538.506256      0.000000      0.000000      0.000000 -86543.628584      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000
    26.000000    753.980150      0.000000      0.000000      0.000000 -16119.891375      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000
