Type,0,1,2,3
ratio,0.95,0,0.05,0
dynamic_tariff,0,0,1,0
smart_management,0,0,1,0
smart_appliance,0,0,1,0
PV_scale,0,0,1,0
BESS_energy,0,0,10,0
BESS_capacity,0,0,2,0
EV_energy,0,0,8,0
EV_capacity,0,0,2,0
redispatch,0,0,0,0
control_reserve,0,0,0,0
